최초66위 날짜	곡 제목	아티스트
1958-08-09	High School Confidential	Jerry Lee Lewis And His Pumping Piano
1958-08-16	You're A Sweetheart	Little Willie John
1958-08-30	Fire Of Love	Jody Reynolds
1959-07-04	I Love An Angel	Little Bill and The Bluenotes
1959-08-08	Katy Too	Johnny Cash And The Tennessee Two
1959-08-15	Half-Breed	Marvin Rainwater
1960-01-16	This Time Of The Year	Brook Benton
1960-02-13	Tell Her For Me	Adam Wade
1960-02-20	Peace Of Mind	Teresa Brewer
1960-04-30	Think Me A Kiss	Clyde McPhatter
1960-08-27	Delia Gone	Pat Boone
1960-09-10	I Walk The Line	Jaye P. Morgan
1960-11-19	Have Mercy Baby	The Bobbettes
1960-12-31	(Let's Do) The Hully Gully Twist	Bill Doggett
1961-03-18	Lonely Blue Nights	Rosie
1961-06-24	I've Got News For You	Ray Charles
1961-09-02	Back Beat No. 1	The Rondels
1961-09-09	Keep On Dancing	Hank Ballard And The Midnighters
1961-10-28	Young Boy Blues	Ben E. King
1962-03-03	Let Me Call You Sweetheart	Timi Yuro
1962-04-07	Lollipops And Roses	Jack Jones
1962-06-02	Doctor Feel-Good	Dr. Feelgood And The Interns
1962-10-06	Don't You Worry	Don Gardner And Dee Dee Ford
1963-02-23	Baby, Baby, Baby	Sam Cooke
1963-03-16	The Jive Samba	Cannonball Adderley
1963-03-23	Meditation (Meditacao)	Charlie Byrd
1963-08-24	Can't Nobody Love You	Solomon Burke
1963-10-26	Enamorado	Keith Colley
1963-11-30	Unchained Melody	Vito & The Salutations
1964-01-11	True Love Goes On And On	Burl Ives
1964-02-22	Shimmy Shimmy	The Orlons
1964-03-07	He Walks Like A Man	Jody Miller
1964-06-20	Rules Of Love	The Orlons
1964-07-18	I Can't Hear You	Betty Everett
1965-04-17	Not Too Long Ago	The Uniques Featuring Joe Stampley
1965-05-22	Super-cali-fragil-istic-expi-ali-docious	Julie Andrews-Dick Van Dyke
1965-06-19	Love Is A 5-Letter Word	James Phelps
1965-06-26	Bring A Little Sunshine (To My Heart)	Vic Dana
1965-10-23	A Lifetime Of Loneliness	Jackie DeShannon
1966-02-12	Snow Flake	Jim Reeves
1966-03-05	Batman	Jan & Dean
1966-04-16	Love Is Me, Love Is You	Connie Francis
1966-06-11	Take Some Time Out For Love	The Isley Brothers
1966-07-23	Teenager's Prayer	Joe Simon
1966-12-24	The Girl That Stood Beside Me	Bobby Darin
1967-03-11	The People In Me	The Music Machine
1967-04-01	For He's A Jolly Good Fellow	Bobby Vinton
1967-04-15	Girl Don't Care	Gene Chandler
1967-06-17	Stay Together Young Lovers	Brenda & The Tabulations
1967-07-08	Who's Lovin' You	Brenda & The Tabulations
1967-09-09	Laura, What's He Got That I Ain't Got	Frankie Laine
1967-09-16	Just Out Of Reach (Of My Two Empty Arms)	Percy Sledge
1967-09-30	Turn The World Around	Eddy Arnold
1967-10-07	For What It's Worth	The Staple Singers
1968-01-06	I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
1968-04-20	Gentle On My Mind	Patti Page
1968-08-03	Two-Bit Manchild	Neil Diamond
1968-11-09	Alfie	Eivets Rednow
1968-12-21	Keep On Dancing	Alvin Cash
1969-07-19	(Sittin' On) The Dock Of The Bay	Sergio Mendes & Brasil '66
1969-08-09	Where Do I Go/Be-In/Hare Krishna	The Happenings
1970-02-14	Hello It's Me	Nazz
1970-04-18	Dear Prudence	The 5 Stairsteps
1970-11-21	Easy Rider (Let The Wind Pay The Way)	Iron Butterfly
1970-12-26	Black Night	Deep Purple
1971-03-13	Ain't It A Sad Thing	R. Dean Taylor
1971-05-29	Brownsville	Joy Of Cooking
1972-05-27	An American Trilogy	Elvis Presley
1972-06-03	Love Theme From "The Godfather"	Carlo Savina
1972-09-30	Think (About It)	Lyn Collins
1972-10-14	Colorado	Danny Holien
1972-11-11	If You Let Me	Eddie Kendricks
1972-12-09	Down To The Nightclub	Tower Of Power
1973-06-02	I Like You	Donovan
1973-06-09	Shambala	B.W. Stevenson
1973-06-30	Be What You Are	The Staple Singers
1974-03-09	It's Been A Long Time	The New Birth
1974-04-13	Unborn Child	Seals & Crofts
1974-08-31	Most Likely You Go Your Way (And I'll Go Mine)	Bob Dylan/The Band
1974-11-16	Country Side Of Life	Wet Willie
1975-10-04	(All I Have To Do Is) Dream	The Nitty Gritty Dirt Band
1975-10-25	I Go To Pieces	Cotton, Lloyd & Christian
1975-12-20	Happy	Eddie Kendricks
1976-02-14	In France They Kiss On Main Street	Joni Mitchell
1976-04-10	Queen Of Clubs	KC And The Sunshine Band
1976-06-05	Everything That 'Cha Do (Will Come Back To You)	Wet Willie
1976-10-02	Teddy Bear's Last Ride	Diana Williams
1976-10-23	Brand New Love Affair	Jigsaw
1976-10-30	California Day	Starland Vocal Band
1977-06-04	It Feels So Good To Be Loved So Bad	The Manhattans
