최초39위 날짜	곡 제목	아티스트
1958-08-09	Angel Baby	Dean Martin
1958-10-18	Fibbin'	Patti Page
1959-01-24	Teasin'	Quaker City Boys
1959-02-14	Nola	Billy Williams
1959-06-20	Graduation's Here	The Fleetwoods
1959-08-29	With Open Arms	Jane Morgan
1959-09-12	The Mummy	Bob McFadden And Dor
1959-10-24	Torquay	Fireballs
1960-01-02	Swingin' On A Rainbow	Frankie Avalon
1960-03-12	String Along	Fabian
1960-09-03	(I Can't Help You) I'm Falling Too	Skeeter Davis
1960-10-22	Tonights The Night	The Shirelles
1961-02-25	(I Wanna) Love My Life Away	Gene Pitney
1961-03-18	Let's Go Again (Where We Went Last Night)	Hank Ballard And The Midnighters
1961-04-15	Theme From Dixie	Duane Eddy
1961-06-03	Halfway To Paradise	Tony Orlando
1961-09-02	Don't Cry, Baby	Etta James
1961-11-11	Please Don't Go	Ral Donner
1961-12-30	The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
1962-06-30	I'll Try Something New	The Miracles
1962-08-04	Mary's Little Lamb	James Darren
1962-11-03	Don't You Believe It	Andy Williams
1962-12-08	Mary Ann Regrets	Burl Ives
1963-05-11	(Today I Met) The Boy I'm Gonna Marry	Darlene Love
1963-05-25	Remember Diana	Paul Anka
1963-07-20	(I Love You) Don't You Forget It	Perry Como
1963-09-14	The Lonely Surfer	Jack Nitzsche
1964-03-21	Baby, Don't You Cry (The New Swingova Rhythm)	Ray Charles and his Orchestra
1964-04-11	We Love You Beatles	The Carefrees
1964-05-16	(The Best Part Of) Breakin' Up	The Ronettes
1964-05-30	Whenever He Holds You	Bobby Goldsboro
1964-11-14	Bless Our Love	Gene Chandler
1964-11-21	You Should Have Seen The Way He Looked At Me	The Dixie Cups
1965-03-20	I Don't Want To Spoil The Party	The Beatles
1965-05-15	Subterranean Homesick Blues	Bob Dylan
1965-08-14	(Say) You're My Girl	Roy Orbison
1965-10-23	Cara-Lin	The Strangeloves
1965-12-04	Just A Little Bit	Roy Head
1966-01-01	Harlem Nocturne	The Viscounts
