최초54위 날짜	곡 제목	아티스트
1958-08-09	Don't Ask Me Why	Elvis Presley With The Jordanaires
1958-12-06	Need Your Love	Bobby Freeman
1959-01-24	The Bluebird, The Buzzard & The Oriole	Bobby Day
1959-09-05	Johnny Reb	Johnny Horton
1959-09-12	True True Happiness	Johnny Tillotson
1959-09-26	Got The Feeling	Fabian
1959-10-03	Two Fools	Frankie Avalon
1960-01-30	No Love Have I	Webb Pierce
1960-04-02	Chattanooga Choo Choo	Ernie Fields & Orch.
1960-07-02	Lonely Winds	The Drifters
1960-07-30	Please Help Me, I'm Falling	Rusty Draper
1960-08-13	One Boy	Joanie Sommers
1960-12-24	Silent Night	Bing Crosby With John Scott Trotter And His Orchestra & Max Terr's Mixed Chorus
1961-01-07	Your Other Love	The Flamingos
1961-02-04	Muskrat Ramble	Freddy Cannon
1961-02-25	Cherié	Bobby Rydell
1961-04-29	Sleepy-Eyed John	Johnny Horton
1961-06-10	Anna	Jorgen Ingmann & His Guitar
1961-07-29	What A Sweet Thing That Was	The Shirelles
1961-08-19	Hully Gully Again	Little Caesar and The Romans
1961-09-16	Music, Music, Music	The Sensations Featuring Yvonne
1961-09-23	Wizard Of Love	The Ly - Dells
1961-11-18	Blue Moon	The Ventures
1961-12-02	It's Too Soon To Know	Etta James
1961-12-09	The Peppermint Twist	Danny Peppermint and the Jumping Jacks
1962-08-25	Love Me As I Love You	George Maharis
1962-09-22	Lollipops And Roses	Paul Petersen
1962-10-27	Twistin' With Linda	The Isley Brothers
1963-02-09	I'm A Woman	Peggy Lee
1963-03-09	Pin A Medal On Joey	James Darren
1963-11-23	Don't Wait Too Long	Tony Bennett
1964-01-18	Today's Teardrops	Rick Nelson
1964-05-23	Hurt By Love	Inez Foxx
1964-06-20	The French Song	Lucille Starr
1964-07-04	Just Ain't Enough Love	Eddie Holland
1964-11-28	Little Marie	Chuck Berry
1965-01-16	Lovin' Place	Gale Garnett
1965-01-23	Bucket "T"	Ronny And The Daytonas
1965-02-13	Hello Pretty Girl	Ronnie Dove
1965-04-03	For Mama	Jerry Vale
1965-04-17	Never, Never Leave Me	Mary Wells
1965-05-01	Truly, Truly, True	Brenda Lee
1965-06-26	And I Love Him	Esther Phillips
1965-07-24	Silver Threads And Golden Needles	Jody Miller
1965-08-14	It's Gonna Be Fine	Glenn Yarbrough
1965-11-20	Sinner Man	Trini Lopez
1966-02-26	Bye Bye Blues	Bert Kaempfert And His Orchestra
1966-03-26	Secret Agent Man	The Ventures
1966-06-18	Better Use Your Head	Little Anthony And The Imperials
1966-11-26	Why Pick On Me	The Standells
