최초94위 날짜	곡 제목	아티스트
1988-11-19	If You Feel It	Denise Lopez
1989-04-08	Similar Features	Melissa Etheridge
1989-09-16	This One	Paul McCartney
1990-05-05	Blues Before And After	The Smithereens
1991-02-02	Jealousy	The Adventures Of Stevie V
1992-03-07	Do You Want It Right Now	Degrees Of Motion
1992-10-10	Inside That I Cried	CeCe Peniston
1993-06-19	Almost Unreal (From "Super Mario Bros.")	Roxette
1993-09-18	Heaven Knows	Luther Vandross
1994-07-16	Captain Save A Hoe	E-40
1994-08-13	No Guns, No Murder	Rayvon
1994-10-29	Word Is Bond	Brand Nubian
1995-02-25	Can't Wait	Redman
1996-03-23	Ain't Nobody	Diana King
1996-11-02	I'm So Happy I Can't Stop Crying	Sting
1996-11-16	Devil's Haircut	Beck
1997-02-01	My Baby Mama	QT
1997-11-22	The Joint	EPMD
1998-03-07	Saint Of Me	The Rolling Stones
1998-11-28	I Still Love You	Lil Suzy
1998-12-05	Jump Jive An' Wail	The Brian Setzer Orchestra
2001-02-10	You All Dat	Baha Men With Imani Coppola
2001-08-25	Bia' Bia'	Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte
2002-02-02	My Sweet Lord	George Harrison
2002-05-11	I Told Y'all	Petey Pablo
2002-08-10	Where Do We Go From Here	Filter
2003-03-22	Choppa Style	Choppa Featuring Master P
2003-09-27	Rubberneckin'	Elvis Presley
2004-07-17	Diamond In The Back	Ludacris
2004-11-20	Bridging The Gap	Nas Featuring Olu Dara
2005-02-19	Down And Out	Cam'Ron Featuring Kanye West & Syleena Johnson
2005-03-26	Why Do You Love Me	Garbage
2005-07-30	Touch	Omarion
2006-01-07	Hit The Floor	Twista Featuring Pitbull
2006-04-01	Wasteland	10 Years
2006-04-15	Lo Que Me Gusta A Mi	Juanes
2006-07-29	8th Of November	Big & Rich
2006-11-18	Change Me	Ruben Studdard
2007-05-05	A Feelin' Like That	Gary Allan
2007-05-12	Dig	Incubus
2008-06-28	Coconut Juice	Tyga Featuring Travis McCoy
2008-11-01	What A Catch, Donnie	Fall Out Boy
2008-11-29	Hey Stephen	Taylor Swift
2008-12-13	Leave Out All The Rest	Linkin Park
2009-06-06	Falling Slowly	Kris Allen
2009-12-05	Bigger	Justin Bieber
2009-12-12	Speechless	Lady Gaga
2009-12-26	And I Am Telling You I'm Not Going	Glee Cast
2010-04-10	Fistful Of Tears	Maxwell
2010-10-30	Le Jazz Hot	Glee Cast
2011-02-05	Stay The Night	James Blunt
2011-04-02	Arms	Christina Perri
2011-04-16	Walking	Mary Mary
2011-06-04	My Man	Glee Cast
2011-06-25	Bang Bang Bang	Selena Gomez & The Scene
2011-09-17	President Carter	Lil Wayne
2011-11-12	Lessons In Love	Kaskade Featuring Neon Trees
2012-01-07	Wobble	V.I.C.
2012-04-07	Bully	Shinedown
2012-07-28	Gold On The Ceiling	The Black Keys
2012-12-15	Too Close	Melanie Martinez
2013-03-16	It's A Beautiful Day	Michael Buble
2013-04-20	Whiskey	Jana Kramer
2013-08-31	We Own The Night	The Wanted
2013-09-28	I Do It	2 Chainz Featuring Drake & Lil Wayne
2013-10-05	Could It Be	Charlie Worsham
2014-02-15	Can't Raise A Man	K. Michelle
2014-03-22	Adrenalina	Wisin Featuring Jennifer Lopez & Ricky Martin
2014-07-19	Calm Down	Busta Rhymes Featuring Eminem
2015-02-21	A Little Too Much	Shawn Mendes
2015-04-04	These Walls	Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat
2015-05-16	Flicka Da Wrist	Chedda Da Connect
2015-05-30	A Thousand Years	Sawyer Fredericks
2015-08-29	If Only	Dove Cameron
2015-12-05	A.M.	One Direction
2015-12-26	Random	G-Eazy
2016-02-13	Country Nation	Brad Paisley
2016-02-27	Whisper	Chase Rice
2016-06-04	I'm Sorry	Adam Wakefield
2016-06-11	Every Breath You Take	Hannah Huston
2016-10-22	LIFTED	CL
2017-06-10	Boy	Lee Brice
2017-06-17	There For You	Martin Garrix x Troye Sivan
2017-07-29	Famous	21 Savage
2017-09-16	Save Me	XXXTENTACION
2017-12-16	Faking It	Calvin Harris Featuring Kehlani & Lil Yachty
2018-07-14	Downtown's Dead	Sam Hunt
2018-09-22	Vaina Loca	Ozuna x Manuel Turizo
2019-03-09	I Guess I Just Feel Like	John Mayer
2019-03-16	Rule The World	2 Chainz Featuring Ariana Grande
2019-06-15	Under Enemy Arms	Trippie Redd
2019-08-10	All Day Long	Chance The Rapper Featuring John Legend
2019-09-14	God Only Knows	for KING & COUNTRY
2020-01-18	20/20	Lil Tjay
2020-02-08	First Man	Camila Cabello
2020-03-14	Solia	Bad Bunny
2020-07-04	One Shot	YoungBoy Never Broke Again Featuring Lil Baby
2020-10-10	Ay, Dios Mio!	Karol G
2020-12-05	Circles	Megan Thee Stallion
2020-12-12	La Droga	Bad Bunny
2021-01-02	Silent Night	Carrie Underwood
2021-01-30	Better Days	Ant Clemons Featuring Justin Timberlake
2021-04-10	What's Love??	Rod Wave
2021-04-24	The Way I Loved You (Taylor's Version)	Taylor Swift
2021-07-24	De Museo	Bad Bunny
2021-09-04	Demon Time	Trippie Redd Featuring Ski Mask The Slump God
2021-11-27	La Fama	Rosalia Featuring The Weeknd
2021-12-18	Start Up Again	Polo G Featuring Moneybagg Yo
2022-02-12	Infinity	Jaymes Young
2023-05-27	Everything She Ain't	Hailey Whitters
2023-07-01	Go Crazy	Gunna
2023-07-15	We Didn't Start The Fire	Fall Out Boy
2023-09-09	There I Go	Gucci Mane Featuring J. Cole & Mike WiLL Made-It
2024-02-24	King	¥$: Ye & Ty Dolla $ign
2024-05-25	Back In The A	Gunna
2024-07-06	Risk	Gracie Abrams
2024-07-13	New To Country	Bailey Zimmerman
2024-07-20	Towers	Zach Bryan
2024-08-10	Linger (SiriusXM Session)	Royel Otis
2024-09-14	Young Love & Saturday Nights	Chris Young
2024-10-26	Mike	Rod Wave
2024-12-07	I'm Not That Girl	Cynthia Erivo
2025-01-11	Ends Of The Earth	Ty Myers
2025-04-12	Shaking When I Pray	Lil Durk
2025-09-06	Somebody	Latto
