최초40위 날짜	곡 제목	아티스트
1958-12-13	Love Of My Life	The Everly Brothers
1959-01-03	Don't Pity Me	Dion & The Belmonts
1959-04-04	Heavenly Lover	Teresa Brewer
1959-07-04	Wonderful You	Jimmie Rodgers
1959-12-12	I'm Movin' On	Ray Charles and his Orchestra
1960-05-28	No If's - No And's	Lloyd Price and His Orchestra
1960-08-06	Sticks And Stones	Ray Charles and his Orchestra
1960-09-10	I Love You In The Same Old Way	Paul Anka
1960-10-29	Just A Little	Brenda Lee
1961-03-25	Your One And Only Love	Jackie Wilson
1961-04-01	Bewildered	James Brown And The Famous Flames
1961-07-08	Nature Boy	Bobby Darin
1961-10-07	Water Boy	Don Shirley Trio
1962-03-31	The Alvin Twist	The Chipmunks With David Seville
1962-07-14	Limbo Rock	The Champs
1963-06-01	That's How Heartaches Are Made	Baby Washington
1963-06-08	The Bounce	The Olympics
1963-07-06	Your Old Stand By	Mary Wells
1963-10-05	Birthday Party	The Pixies Three
1963-10-19	A Love So Fine	The Chiffons
1964-07-11	Lazy Elsie Molly	Chubby Checker
1964-09-05	Sweet William	Millie Small
1964-09-26	Say You	Ronnie Dove
1965-01-16	What Now	Gene Chandler
1965-02-20	Break Away (From That Boy)	The Newbeats
1965-04-03	Come See	Major Lance
1965-05-08	Crazy Downtown	Allan Sherman
1965-05-22	Let's Do The Freddie	Chubby Checker
1965-08-21	All I Really Want To Do	The Byrds
1965-10-16	Ain't It True	Andy Williams
1966-05-28	Dum-De-Da	Bobby Vinton
1966-06-18	The Last Word In Lonesome Is Me	Eddy Arnold
1966-07-23	You Can't Roller Skate In A Buffalo Herd	Roger Miller
1966-11-05	Spinout	Elvis Presley With The Jordanaires
1967-01-21	Wack Wack	The Young Holt Trio
1967-04-22	I'll Try Anything	Dusty Springfield
1967-07-08	Bowling Green	The Everly Brothers
1967-07-22	Love Me Tender	Percy Sledge
1967-11-25	Get It Together (Part 1)	James Brown And The Famous Flames
1968-04-20	The Son Of Hickory Holler's Tramp	O.C. Smith
1968-05-04	Call Me Lightning	The Who
1968-05-18	Jennifer Eccles	The Hollies
1968-07-06	It Should Have Been Me	Gladys Knight And The Pips
