최초17위 날짜	곡 제목	아티스트
1958-08-09	One Summer Night	The Danleers
1958-09-20	Stupid Cupid	Connie Francis
1958-10-04	Promise Me, Love	Andy Williams
1958-11-01	Pussy Cat	The Ames Brothers
1958-11-29	Poor Boy	The Royaltones
1959-07-11	You're So Fine	The Falcons
1959-07-18	Twixt Twelve And Twenty	Pat Boone
1959-09-12	I'm Gonna Be A Wheel Some Day	Fats Domino
1959-11-07	Unforgettable	Dinah Washington
1960-01-09	Smokie - Part 2	Bill Black's Combo
1960-04-02	Teddy	Connie Francis
1960-05-07	Fame And Fortune	Elvis Presley With The Jordanaires
1960-10-01	You Mean Everything To Me	Neil Sedaka
1961-01-28	I Count The Tears	The Drifters
1961-03-11	Little Boy Sad	Johnny Burnette
1961-07-22	Cupid	Sam Cooke
1961-09-09	I Just Don't Understand	Ann-Margret
1961-09-23	More Money For You And Me	The Four Preps
1962-03-10	Tuff	Ace Cannon
1962-03-31	Come Back Silly Girl	The Lettermen
1962-04-28	Soul Twist	King Curtis And The Noble Knights
1962-07-14	Having A Party	Sam Cooke
1962-08-11	Twist And Shout	The Isley Brothers
1962-09-15	Send Me The Pillow You Dream On	Johnny Tillotson
1962-09-22	Beechwood 4-5789	The Marvelettes
1962-10-20	Don't Go Near The Indians	Rex Allen
1962-11-03	What Kind Of Fool Am I	Sammy Davis Jr.
1962-11-10	James (Hold The Ladder Steady)	Sue Thompson
1962-12-29	Chains	The Cookies
1963-03-09	Alice In Wonderland	Neil Sedaka
1963-04-20	Follow The Boys	Connie Francis
1963-05-04	Young And In Love	Dick and DeeDee
1963-06-01	El Watusi	Ray Barretto
1963-06-22	Wildwood Days	Bobby Rydell
1963-07-13	Harry The Hairy Ape	Ray Stevens
1963-07-27	Ring Of Fire	Johnny Cash
1963-09-28	The Kind Of Boy You Can't Forget	The Raindrops
1963-11-09	The Grass Is Greener	Brenda Lee
1963-12-07	Twenty Four Hours From Tulsa	Gene Pitney
1964-02-08	Hooka Tooka	Chubby Checker
1964-03-07	The Shelter Of Your Arms	Sammy Davis Jr.
1964-05-16	Wish Someone Would Care	Irma Thomas
1964-06-20	Today	The New Christy Minstrels
1964-07-04	What's The Matter With You Baby	Marvin Gaye & Mary Wells
1964-08-15	Steal Away	Jimmy Hughes
1964-09-12	Clinging Vine	Bobby Vinton
1964-10-17	Matchbox	The Beatles
1964-11-07	I Like It	Gerry And The Pacemakers
1964-11-21	Is It True	Brenda Lee
1965-04-10	Long Lonely Nights	Bobby Vinton
1965-06-19	Before And After	Chad & Jeremy
1965-08-14	I'm A Fool	Dino, Desi & Billy
1965-08-28	Since I Lost My Baby	The Temptations
1965-11-06	Everyone's Gone To The Moon	Jonathan King
1965-12-11	I'm A Man	The Yardbirds
1966-03-12	Batman Theme	The Marketts
1966-04-09	Little Latin Lupe Lu	Mitch Ryder And The Detroit Wheels
1966-07-02	Double Shot (Of My Baby's Love)	Swingin' Medallions
1966-09-03	Warm And Tender Love	Percy Sledge
1966-10-08	Mr. Dieingly Sad	The Critters
1966-12-17	(Come 'round Here) I'm The One You Need	The Miracles
1967-01-28	I've Passed This Way Before	Jimmy Ruffin
1967-08-12	Soul Finger	Bar-Kays
1967-08-26	To Love Somebody	Bee Gees
1967-09-23	I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
1967-12-30	Next Plane To London	The Rose Garden
1968-02-10	My Baby Must Be A Magician	The Marvelettes
1968-04-13	Playboy	Gene And Debbe
1968-06-08	Like To Get To Know You	Spanky And Our Gang
1968-06-29	Tip-Toe Thru' The Tulips With Me	Tiny Tim
1968-08-31	Soul-Limbo	Booker T. & The MG's
1968-12-28	Bring It On Home To Me	Eddie Floyd
1969-02-15	Ramblin' Gamblin' Man	Bob Seger System
1969-06-07	Morning Girl	The Neon Philharmonic
1969-12-13	Eleanor Rigby	Aretha Franklin
1969-12-27	Friendship Train	Gladys Knight And The Pips
1970-06-13	Come Saturday Morning	The Sandpipers
1970-08-29	Tell It All Brother	Kenny Rogers & The First Edition
1970-09-05	Hand Me Down World	The Guess Who
1970-12-19	Be My Baby	Andy Kim
1971-01-30	Born To Wander	Rare Earth
1971-03-13	Don't Let The Green Grass Fool You	Wilson Pickett
1971-05-01	Timothy	The Buoys
1971-07-17	I Don't Want To Do Wrong	Gladys Knight And The Pips
1971-08-07	Rings	Cymarron
1971-11-20	Easy Loving	Freddie Hart
1971-12-04	A Natural Man	Lou Rawls
1972-02-12	Stay With Me	Faces
1972-09-09	Join Together	The Who
1972-11-18	Thunder And Lightning	Chi Coltrane
1972-12-09	Operator (That's Not the Way it Feels)	Jim Croce
1972-12-30	Walk On Water	Neil Diamond
1973-03-10	Do You Want To Dance?	Bette Midler
1973-05-19	Out Of The Question	Gilbert O'Sullivan
1973-05-26	The Right Thing To Do	Carly Simon
1973-06-02	Steamroller Blues/Fool	Elvis Presley
1973-06-23	I'm Doin' Fine Now	New York City
1973-07-28	So Very Hard To Go	Tower Of Power
1973-12-01	Let Me Serenade You	Three Dog Night
1974-03-16	Sexy Mama	Moments
1974-03-23	My Sweet Lady	Cliff DeYoung
1974-07-20	Finally Got Myself Together (I'm A Changed Man)	The Impressions
1974-08-03	If You Talk In Your Sleep	Elvis Presley
1974-12-14	Ain't Too Proud To Beg	The Rolling Stones
1975-03-15	To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
1975-08-30	Holdin' On To Yesterday	Ambrosia
1975-09-20	Solitaire	Carpenters
1976-08-07	I'm Easy	Keith Carradine
1976-11-27	The Best Disco In Town	The Ritchie Family
1977-01-29	Jeans On	David Dundas
1977-07-16	High School Dance	The Sylvers
1977-08-27	How Much Love	Leo Sayer
1977-09-24	Don't Worry Baby	B.J. Thomas
1977-12-24	Swingtown	The Steve Miller Band
1978-03-18	(What A)  Wonderful World	Art Garfunkel With James Taylor & Paul Simon
1978-04-29	Sweet Talkin' Woman	Electric Light Orchestra
