최초46위 날짜	곡 제목	아티스트
1958-10-25	Give Myself A Party	Don Gibson
1958-12-13	Sing Sing Sing	Bernie Lowe Orchestra
1959-07-18	Like Young	Andre Previn With David Rose
1959-07-25	The Quiet Three	Duane Eddy His Twangy Guitar And The Rebels
1959-08-22	Linda Lu	Ray Sharpe
1959-11-07	Joey's Song	Bill Haley And His Comets
1959-11-14	I Dig Girls	Bobby Rydell
1960-02-20	Darling Lorraine	The Knockouts
1960-03-26	Paradise	Sammy Turner
1960-12-31	Bumble Bee	LaVern Baker
1961-02-18	What Would I Do	Mickey & Sylvia
1961-03-11	I Pity The Fool	Bobby Bland
1961-05-13	(It Never Happens) In Real Life	Chuck Jackson
1961-07-15	You'll Answer To Me	Patti Page
1961-11-25	Under The Moon Of Love	Curtis Lee
1962-04-28	You Talk About Love	Barbara George
1962-09-22	Every Night (Without You)	Paul Anka
1962-10-13	The Things We Did Last Summer	Shelley Fabares
1962-12-01	Stubborn Kind Of Fellow	Marvin Gaye
1963-03-02	Every Day I Have To Cry	Steve Alaimo
1963-08-10	How Many Teardrops	Lou Christie
1964-01-25	In The Summer Of His Years	Connie Francis
1964-04-18	I Can't Stand It	Soul Sisters
1964-08-29	Little Latin Lupe Lu	The Kingsmen
1965-01-16	Makin' Whoopee	Ray Charles
1965-03-27	You Better Get It	Joe Tex
1965-04-10	Anytime At All	Frank Sinatra
1965-04-24	I Can't Stop Thinking Of You	Bobbi Martin
1965-05-15	Yes It Is	The Beatles
1965-07-31	Seein' The Right Love Go Wrong	Jack Jones
1965-09-18	If I Didn't Love You	Chuck Jackson
1965-10-30	Steppin' Out	Paul Revere & The Raiders
1965-12-04	Road Runner	The Gants
1965-12-11	Crawling Back	Roy Orbison
1966-03-12	Up And Down	The McCoys
1966-03-26	The One On The Right Is On The Left	Johnny Cash
1966-04-23	One Track Mind	The Knickerbockers
1966-07-30	Whole Lot Of Shakin' In My Heart (Since I Met You)	The Miracles
1966-10-15	In Our Time	Nancy Sinatra
1967-01-07	I (Who Have Nothing)	Terry Knight and The Pack
1967-06-10	Let Yourself Go	James Brown And The Famous Flames
1967-07-15	Airplane Song (My Airplane)	The Royal Guardsmen
1967-09-16	Put Your Mind At Ease	Every Mothers' Son
1967-12-23	In The Misty Moonlight	Dean Martin
1968-03-16	Maybe Just Today	Bobby Vee And The Strangers
1968-04-20	Rice Is Nice	The Lemon Pipers
