최초14위 날짜	곡 제목	아티스트
1958-08-16	Everybody Loves A Lover	Doris Day
1959-01-24	Lucky Ladybug	Billy & Lillie
1959-01-31	The Diary	Neil Sedaka
1959-04-04	Sea Cruise	Frankie Ford
1959-06-27	Bongo Rock	Preston Epps
1959-08-15	Here Comes Summer	Jerry Keller
1959-10-10	The Battle Of Kookamonga	Homer And Jethro
1959-12-26	Uh! Oh! Part 2	The Nutty Squirrels
1960-03-19	Lady Luck	Lloyd Price and His Orchestra
1960-05-07	Step By Step	The Crests
1960-08-06	Feel So Fine	Johnny Preston
1960-11-19	The Hucklebuck	Chubby Checker
1960-12-03	My Girl Josephine	Fats Domino
1960-12-10	Sway	Bobby Rydell
1961-03-25	Lazy River	Bobby Darin
1961-05-13	Flaming Star	Elvis Presley With The Jordanaires
1961-07-22	Please Stay	The Drifters
1961-09-16	It's Gonna Work Out Fine	Ike & Tina Turner
1961-10-21	Look In My Eyes	The Chantels
1961-10-28	(He's My) Dreamboat	Connie Francis
1961-12-30	Til	The Angels
1962-03-31	She's Got You	Patsy Cline
1962-07-14	I'll Never Dance Again	Bobby Rydell
1962-08-11	(Girls, Girls, Girls) Made To Love	Eddie Hodges
1962-09-01	Your Nose Is Gonna Grow	Johnny Crawford
1962-10-13	Surfin' Safari	The Beach Boys
1963-01-19	I Saw Linda Yesterday	Dickey Lee
1963-02-23	Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
1963-03-09	Mama Didn't Lie	Jan Bradley
1963-03-30	I Wanna Be Around	Tony Bennett
1963-04-06	All I Have To Do Is Dream	Richard Chamberlain
1963-07-06	On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
1963-08-17	Green, Green	The New Christy Minstrels
1963-09-07	Frankie And Johnny	Sam Cooke
1963-12-14	Wonderful Summer	Robin Ward
1964-01-11	Wives And Lovers	Jack Jones
1964-03-21	I Saw Her Standing There	The Beatles
1964-05-23	I'm So Proud	The Impressions
1964-09-05	You Never Can Tell	Chuck Berry
1964-09-12	Maybe I Know	Lesley Gore
1964-11-07	Tobacco Road	The Nashville Teens
1964-12-05	Right Or Wrong	Ronnie Dove
1965-01-09	Any Way You Want It	The Dave Clark Five
1965-01-30	I'll Be There	Gerry And The Pacemakers
1965-02-20	Twine Time	Alvin Cash & The Crawlers
1965-03-20	Come Home	The Dave Clark Five
1965-03-27	People Get Ready	The Impressions
1965-05-15	One Kiss For Old Times' Sake	Ronnie Dove
1965-06-05	True Love Ways	Peter And Gordon
1965-07-10	Laurie (Strange Things Happen)	Dickey Lee
1965-11-06	I Knew You When	Billy Joe Royal
1965-11-27	My Girl Has Gone	The Miracles
1965-12-25	Puppet On A String	Elvis Presley With The Jordanaires
1966-01-22	The Duck	Jackie Lee
1966-03-05	What Now My Love	Sonny & Cher
1966-04-02	Woman	Peter And Gordon
1966-05-21	Eight Miles High	The Byrds
1966-10-01	Sunny Afternoon	The Kinks
1966-11-05	B-A-B-Y	Carla Thomas
1967-03-04	It Takes Two	Marvin Gaye & Kim Weston
1967-04-22	With This Ring	The Platters
1967-06-17	7 Rooms Of Gloom	Four Tops
1967-07-01	New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
1967-07-15	Society's Child (Baby I've Been Thinking)	Janis Ian
1967-07-29	Jackson	Nancy Sinatra & Lee Hazlewood
1967-10-14	Dandelion	The Rolling Stones
1967-11-11	(Loneliness Made Me Realize) It's You That I Need	The Temptations
1967-12-02	Lazy Day	Spanky And Our Gang
