최초95위 날짜	곡 제목	아티스트
1958-08-30	Old MacDonald	The Chargers
1958-10-18	Paris	Perez Prado And His Orchestra
1958-10-25	Someday (You'll Want Me To Want You)	Jodie Sands
1958-12-06	Billy Bayou	Jim Reeves
1959-02-07	(Night Time Is) The Right Time	Ray Charles with the Raylettes
1959-02-21	I've Got You Under My Skin	Louis Prima And Keely Smith
1959-03-21	Jimmy Kiss And Run	Diane Maxwell
1959-05-16	Kansas City (Hey-Hey-Hey-Hey)	Little Richard
1959-07-04	Happy Vacation	Jackie Lee
1959-09-12	Private Eye	The Olympics
1959-10-24	Igmoo (The Pride Of South Central High)	Stonewall Jackson
1960-01-09	Smokie-Part 2	Bill Doggett
1960-01-23	Mediterranean Moon	The Rays
1960-02-13	Don't Let The Sun Catch You Cryin'	Ray Charles
1960-06-11	Biology	Danny Valentino
1960-09-24	Alvin For President	David Seville And The Chipmunks
1960-10-22	Dance With Me Georgie	The Bobbettes
1960-12-24	Child Of God	Bobby Darin
1961-01-21	Tonite, Tonite	Mello-Kings
1961-03-11	Early Every Morning (Early Every Evening Too)	Dinah Washington
1961-04-01	Little Turtle Dove	Otis Williams And His Charms
1961-09-16	Dear Mr. D.J. Play It Again	Tina Robin
1961-09-30	Impossible	Gloria Lynne
1961-10-07	Hang On	Floyd Cramer
1961-12-16	Seven Day Fool	Etta James
1962-01-20	A Sunday Kind Of Love	Jan & Dean
1962-03-31	Play The Thing	Marlowe Morris Quintet
1962-04-28	You Don't Miss Your Water	William Bell
1962-05-19	Quando, Quando, Quando (Tell Me When)	Pat Boone
1962-08-04	Theme From "Hatari!"	Henry Mancini And His Orchestra
1962-08-11	Sugar Plum	Ike Clanton
1962-08-18	Your Heart Belongs To Me	The Supremes
1962-08-25	Beach Party	Dave York and The Beachcombers
1962-09-22	Sweet Little Sixteen	Jerry Lee Lewis
1962-10-20	I'm Gonna Change Everything	Jim Reeves
1962-11-24	Dear Hearts And Gentle People	The Springfields
1962-12-29	Lover Come Back To Me	The Cleftones
1963-01-12	Someone Somewhere	Junior Parker
1963-02-02	M.G. Blues	Jimmy McGriff
1963-03-16	My Foolish Heart	The Demensions
1963-03-23	Little Star	Bobby Callender
1963-08-10	The Minute You're Gone	Sonny James
1963-09-28	Nick Teen And Al K. Hall	Rolf Harris
1963-10-12	Cowboy Boots	Dave Dudley
1963-11-09	When The Boy's Happy (The Girl's Happy Too)	The Four Pennies
1963-11-16	I'm Down To My Last Heartbreak	Wilson Pickett
1964-01-18	Judy Loves Me	Johnny Crawford
1964-02-22	Please, Please, Please	James Brown And The Famous Flames
1964-05-09	Caldonia	James Brown And His Orchestra
1964-07-04	I Don't Want To Hear Anymore	Jerry Butler
1964-08-01	I'm Happy Just To Dance With You	The Beatles
1964-08-22	Soul Dressing	Booker T. & The MG's
1964-10-17	I Can't Believe What You Say (For Seeing What You Do)	Ike & Tina Turner
1965-01-02	A Little Bit Of Soap	Garnet Mimms
1965-01-09	It's Better To Have It	Barbara Lynn
1965-04-10	Don't Let Your Left Hand Know	Joe Tex
1965-04-17	Dear Dad	Chuck Berry
1965-05-29	Break Up	Del Shannon
1965-06-19	Welcome Home	Walter Jackson
1965-07-10	I Want You Back Again	The Zombies
1965-07-24	You've Never Been In Love Like This Before	Unit Four plus Two
1965-08-07	After Loving You	Della Reese
1965-09-11	Me Without You	Mary Wells
1965-10-02	For Your Love	Sam & Bill
1965-10-30	Think	Jimmy McCracklin
1965-11-27	Love Theme From "The Sandpiper" (The Shadow Of Your Smile)	Tony Bennett
1965-12-11	Back Street	Edwin Starr
1966-01-01	Blue River	Elvis Presley
1966-03-19	Big Time	Lou Christie
1966-04-02	Uptight (Everything's Alright)	The Jazz Crusaders
1966-05-14	A Lover's Concerto	Mrs. Miller
1966-06-11	One Too Many Mornings	Beau Brummels
1966-08-13	Your Good Thing (Is About To End)	Mable John
1966-09-10	Alfie	Cilla Black
1966-09-24	To Make A Big Man Cry	Roy Head
1966-10-22	Cry Softly	Nancy Ames
1966-11-05	Stand In For Love	The O'Jays
1967-03-25	Who Do You Love	The Woolies
1967-04-01	I Can't Make It Anymore	Spyder Turner
1967-04-15	Everybody Loves A Winner	William Bell
1967-05-06	Shake Hands And Walk Away Cryin'	Lou Christie
1967-05-13	She Shot A Hole In My Soul	Clifford Curry
1967-05-27	Red Roses For Mom	Bobby Vinton
1967-06-03	Why? (Am I Treated So Bad)	The Staple Singers
1967-08-05	Not So Sweet Martha Lorraine	Country Joe & The Fish
1967-09-02	Penny Arcade	The Cyrkle
1967-10-14	Different Strokes	Syl Johnson
1967-12-16	Somebody's Sleeping In My Bed	Johnnie Taylor
1968-02-17	It's Not Easy	The Will-O-Bees
1968-04-20	Never Get Enough Of Your Love	Oscar Toney, Jr.
