최초86위 날짜	곡 제목	아티스트
1958-08-09	Moonlight Bay	The Drifters
1959-05-16	Judy	David Seville
1959-05-30	It's Only The Good Times	Tommy Edwards
1959-07-04	La Plume De Ma Tante	Hugo & Luigi
1959-07-18	Oh, What A Fool	The Impalas
1959-12-12	Teach Me Tiger	April Stevens
1960-04-23	My Empty Room	Little Anthony And The Imperials
1960-06-25	You've Got The Power	James Brown And The Famous Flames
1961-01-07	If I Knew	Nat King Cole
1961-01-21	I Remember	Maurice Williams & The Zodiacs
1961-02-25	Ja-Da	Johnny And The Hurricanes
1961-08-05	Here In My Heart	Al Martino
1961-11-25	Steps 1 And 2	Jack Scott
1962-02-03	Love Is The Sweetest Thing	Saverio Saridis
1962-03-31	Ain't That Loving You	Bobby Bland
1962-05-26	Drum Stomp	Sandy Nelson
1962-06-16	Marianna	Johnny Mathis
1962-12-15	Twilight Time	Andy Williams
1963-01-12	Trouble In Mind	Aretha Franklin
1963-05-04	Ann-Marie	The Belmonts
1963-07-27	Dancin' Holiday	The Olympics
1964-01-04	For Your Sweet Love	The Cascades
1964-03-21	Lazy Lady	Fats Domino
1964-04-18	Somebody Stole My Dog	Rufus Thomas
1964-08-08	Sunny	Neil Sedaka
1964-08-29	Father Sebastian	The Ramblers
1964-10-17	The Things In This House	Bobby Darin
1964-11-21	Sometimes I Wish I Were A Boy	Lesley Gore
1965-01-16	Blind Man	Little Milton
1965-03-27	Come Back Baby	Roddie Joy
1965-06-26	Then I'll Count Again	Johnny Tillotson
1965-09-18	You're Gonna Make Me Cry	O.V. Wright
1965-11-06	So Long Babe	Nancy Sinatra
1966-07-16	La Bamba - Part I	Trini Lopez
1966-11-26	Games That Lovers Play	Wayne Newton
1967-03-18	Mr. Farmer	The Seeds
1967-07-29	I Can't Go On Livin' Baby Without You	Nino Tempo & April Stevens
1967-11-04	Lovey Dovey/You're So Fine	Bunny Sigler
1968-01-27	Cross My Heart	Billy Stewart
1968-03-23	Baby You're So Right For Me	Brenda & The Tabulations
1968-05-18	A Tribute To A King	William Bell
1968-07-20	Young Boy	Barbara Greene
1968-08-17	Montage From How Sweet It Is (I Know That You Know)	The Love Generation
1968-09-07	If Love Is In Your Heart	Friend And Lover
1968-10-19	Where Do I Go	Carla Thomas
1968-12-28	Tit For Tat (Ain't No Taking Back)	James Brown
1969-01-11	Eloise	Barry Ryan
1969-03-01	Anything You Choose	Spanky And Our Gang
1969-04-26	Any Day Now	Percy Sledge
1969-05-10	Love Is Just A Four-Letter Word	Joan Baez
1969-05-31	Never Gonna Let Him Know	Debbie Taylor
1969-06-28	Dammit Isn't God's Last Name	Frankie Laine
1969-08-09	In My Room	Sagittarius
1969-08-30	Farewell Love Scene	Romeo & Juliet Soundtrack
1969-09-06	Sausalito (Is The Place To Go)	Ohio Express
1969-12-06	Happy	Paul Anka
1970-01-03	I'm Gonna Love You	The Intrigues
1970-01-17	I Started Loving You Again	Al Martino
1970-01-31	Country Preacher	Cannonball Adderley
1970-04-11	Buffalo Soldier	Flamingos
1970-05-16	Darkness, Darkness	The Youngbloods
1970-06-06	Primrose Lane	O.C. Smith
1970-10-24	Dreams	Buddy Miles
1971-01-16	We Got To Live Together - Part I	Buddy Miles
1971-03-06	Tulsa	Billy Joe Royal
1971-06-05	I Don't Wanna Lose You	Johnnie Taylor
1971-07-03	I Need Someone (To Love Me)	Z.Z. Hill
1972-02-12	Bedtime Story	Tammy Wynette
1972-03-11	(Love Me) Love The Life I Lead	The Fantastics
1972-05-13	Too Beautiful To Last	Engelbert Humperdinck
1972-05-20	Don't Want To Say Goodbye	Raspberries
1972-05-27	Ain't That Loving You (For More Reasons Than One)	Isaac Hayes & David Porter
1972-06-17	Nobody But You	Kenny Loggins With Jim Messina
1972-07-08	Tell Me This Is A Dream	The Delfonics
1972-08-19	Melissa	The Allman Brothers Band
1972-10-21	Dinah Flo	Boz Scaggs
1972-11-04	Together Alone	Melanie
1972-11-25	Annabelle	Daniel Boone
1972-12-09	Me And My Baby Got A Good Thing Going	Lyn Collins
1972-12-23	One Way Out	The Allman Brothers Band
1973-04-14	River Road	Uncle Dog
1973-04-21	Delta Queen	Don Fardon
1973-05-05	Only Love	Bill Quateman
1973-06-02	Don't Let It Get You Down	The Crusaders
1973-06-09	What's Your Mama's Name	Tanya Tucker
1973-07-14	You Always Come Back (To Hurting Me)	Johnny Rodriguez
1973-09-22	As Time Goes By	Nilsson
1973-12-08	Love Me For What I Am/there Ain't No Way	Lobo
1973-12-29	This Is Your Song	Don Goodwin
1974-04-13	Loving Arms	Kris Kristofferson & Rita Coolidge
1974-06-29	I'm Falling In Love With You	Little Anthony And The Imperials
1974-07-20	Rings	Reuben Howell
