최초11위 날짜	곡 제목	아티스트
1958-08-09	Yakety Yak	The Coasters
1958-10-04	How The Time Flies	Jerry Wallace
1958-12-13	Bimbombey	Jimmie Rodgers
1959-01-24	May You Always	The McGuire Sisters
1959-02-14	The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
1959-03-28	Please Mr. Sun	Tommy Edwards
1959-05-02	Three Stars	Tommy Dee with Carol Kay and the Teen-Aires
1959-05-30	Goodbye Jimmy, Goodbye	Kathy Linden
1959-06-13	So Fine	The Fiestas
1959-07-11	I Only Have Eyes For You	The Flamingos
1959-08-29	It Was I	Skip And Flip
1959-09-19	Kissin' Time	Bobby Rydell
1960-05-28	Cherry Pie	Skip And Flip
1960-08-27	Dreamin'	Johnny Burnette
1960-09-24	Pineapple Princess	Annette With The Afterbeats
1960-10-29	Summer's Gone	Paul Anka
1960-11-05	Don't Be Cruel	Bill Black's Combo
1961-02-11	Once In Awhile	The Chimes
1961-03-04	Good Time Baby	Bobby Rydell
1961-04-01	Think Twice	Brook Benton
1961-05-27	Little Devil	Neil Sedaka
1961-11-11	A Wonder Like You	Rick Nelson
1961-11-18	You're The Reason	Bobby Edwards
1961-12-09	Moon River	Jerry Butler
1961-12-23	Moon River	Henry Mancini And His Orchestra
1962-04-21	Dear One	Larry Finnegan
1962-06-02	Conscience	James Darren
1962-06-16	Don't Play That Song (You Lied)	Ben E. King
1963-02-16	He's Sure The Boy I Love	The Crystals
1963-03-16	One Broken Heart For Sale	Elvis Presley With The Mello Men
1963-05-25	Hot Pastrami	The Dartells
1963-10-12	Honolulu Lulu	Jan & Dean
1963-10-26	Talk To Me	Sunny & The Sunglows
1963-12-14	Little Red Rooster	Sam Cooke
1964-01-18	Whispering	Nino Tempo & April Stevens
1964-03-14	Good News	Sam Cooke
1964-03-21	Hi-Heel Sneakers	Tommy Tucker
1964-04-11	The Way You Do The Things You Do	The Temptations
1964-06-06	Do You Love Me	The Dave Clark Five
1964-07-18	Good Times	Sam Cooke
1964-08-15	(You Don't Know) How Glad I Am	Nancy Wilson
1964-09-05	Selfish One	Jackie Ross
1964-09-26	Haunted House	Jumpin' Gene Simmons
1964-10-03	Baby I Need Your Loving	Four Tops
1965-02-06	Let's Lock The Door (And Throw Away The Key)	Jay & The Americans
1965-03-20	Red Roses For A Blue Lady	Bert Kaempfert And His Orchestra
1965-07-24	(Such An) Easy Question	Elvis Presley With The Jordanaires
1965-08-14	I Want Candy	The Strangeloves
1965-08-21	Baby, I'm Yours	Barbara Lewis
1965-09-04	Nothing But Heartaches	The Supremes
1965-10-09	I'm Yours	Elvis Presley
1965-10-30	Make Me Your Baby	Barbara Lewis
1965-12-11	Hang On Sloopy	Ramsey Lewis Trio
1966-01-22	Just Like Me	Paul Revere & The Raiders Featuring Mark Lindsay
1966-02-12	Going To A Go-Go	The Miracles
1966-02-26	Zorba The Greek	Herb Alpert & The Tijuana Brass
1966-03-19	Love Makes The World Go Round	Deon Jackson
1966-04-23	A Sign Of The Times	Petula Clark
1966-05-14	Shapes Of Things	The Yardbirds
1966-07-09	Dirty Water	The Standells
1966-09-24	Eleanor Rigby	The Beatles
1966-12-03	Coming On Strong	Brenda Lee
1966-12-10	Whispers (Gettin' Louder)	Jackie Wilson
1967-01-07	Coming Home Soldier	Bobby Vinton
1967-02-11	I Had Too Much To Dream (Last Night)	The Electric Prunes
1967-02-18	Green, Green Grass Of Home	Tom Jones
1967-02-25	Mercy, Mercy, Mercy	Cannonball Adderley
1967-05-27	On A Carousel	The Hollies
1967-07-01	Ding Dong! The Witch Is Dead	The Fifth Estate
1967-08-19	Silence Is Golden	The Tremeloes
1967-09-02	Words	The Monkees
1967-09-16	There Is A Mountain	Donovan
1967-10-21	Get On Up	The Esquires
1967-12-09	(The Lights Went Out In) Massachusetts	Bee Gees
1967-12-30	Honey Chile	Martha Reeves & The Vandellas
1968-01-27	Susan	The Buckinghams
1968-02-17	Baby, Now That I've Found You	The Foundations
1968-04-20	Scarborough Fair (/Canticle)	Simon & Garfunkel
1968-04-27	If You Can Want	Smokey Robinson & The Miracles
1968-05-25	Take Time To Know Her	Percy Sledge
1968-09-21	Time Has Come Today	The Chambers Brothers
1968-11-02	Suzie Q. (Part One)	Creedence Clearwater Revival
1969-01-11	Cinnamon	Derek
1969-01-25	Going Up The Country	Canned Heat
1969-03-08	I've Gotta Be Me	Sammy Davis Jr.
