최초68위 날짜	곡 제목	아티스트
1958-08-09	You're Making A Mistake	The Platters
1958-10-11	Real Wild Child	Ivan
1959-02-14	Alright, Okay, You Win	Peggy Lee
1959-05-02	There's No Fool Like A Young Fool	Tab Hunter
1959-09-05	Mau-Mau	The Wailers
1959-11-21	The Hunch	Paul Gayten
1960-04-30	A Star Is Born (A Love Has Died)	Mark Dinning
1960-12-17	The Bells	James Brown
1961-02-11	Close Together	Jimmy Reed
1961-04-08	Welcome Home	Sammy Kaye And His Orchestra
1961-08-05	My Claire De Lune	Steve Lawrence
1961-09-02	Summer Souvenirs	Karl Hammel, Jr.
1961-12-16	Twistin' U.S.A.	Chubby Checker
1962-01-20	Twistin' All Night Long	Danny & The Juniors with Freddy Cannon
1962-03-03	Blue Water Line	The Brothers Four
1962-05-19	I'll Take You Home	The Corsairs Featuring Jay "Bird" Uzzell
1962-07-21	Why Did You Leave Me?	Vince Edwards
1962-11-17	I've Been Everywhere	Hank Snow
1962-11-24	Anna (Go To Him)	Arthur Alexander
1963-01-26	What To Do With Laurie	Mike Clifford
1963-04-06	Don't Wanna Think About Paula	Dickey Lee
1963-04-27	Whatever You Want	Jerry Butler
1963-09-14	(I Cried at) Laura's Wedding	Barbara Lynn
1963-11-16	Your Teenage Dreams	Johnny Mathis
1964-04-04	Roll Over Beethoven	The Beatles
1964-07-04	It Ain't No Use	Major Lance
1964-07-25	Girls	Major Lance
1965-03-06	I Wanna Be (Your Everything)	The Manhattans
1965-03-27	4 - By The Beatles	The Beatles
1965-05-08	Whipped Cream	Herb Alpert's Tijuana Brass
1965-05-29	Georgie Porgie	Jewel Akens
1965-09-11	Give All Your Love To Me	Gerry And The Pacemakers
1966-01-01	All Or Nothing	Patti LaBelle And The Blue Belles
1966-08-20	Too Soon To Know	Roy Orbison
1966-10-01	I Can Make It With You	Jackie DeShannon
1966-12-03	The Proud One	Frankie Valli
1967-02-04	If You Go Away	Damita Jo
1967-06-24	It's Cold Outside	The Choir
1967-07-08	Black Sheep	Sam The Sham and the Pharaohs
1967-08-12	Don't You Miss Me A Little Bit Baby	Jimmy Ruffin
1967-08-26	Sixteen Tons	Tom Jones
1967-10-14	To Share Your Love	Fantastic Four
1967-10-28	Dirty Man	Laura Lee
1967-11-25	Wake Up, Wake Up	The Grass Roots
1968-01-13	Pick Up The Pieces	Carla Thomas
1968-02-24	A Million To One	Five Stairsteps & Cubie
1968-03-30	If This World Were Mine	Marvin Gaye & Tammi Terrell
1968-04-20	Cinderella Rockefella	Esther & Abi Ofarim
1968-05-11	Impossible Mission (Mission Impossible)	Soul Survivors
1968-06-08	I Wish I Knew (How It Would Feel To Be Free)	Solomon Burke
1968-07-20	Hold On	Radiants
1968-10-05	Horse Fever	Cliff Nobles & Co.
1968-11-23	Sunday Sun	Neil Diamond
1968-12-14	With A Little Help From My Friends	Joe Cocker
1969-03-29	Shotgun	Vanilla Fudge
1969-05-31	I've Been Loving You Too Long	Ike & Tina Turner
1969-09-06	One Night Affair	The O'Jays
1969-11-08	The Colour Of My Love	Jefferson
