최초65위 날짜	곡 제목	아티스트
1958-08-23	When Will I Know	George Hamilton IV
1959-02-28	Are You Lonesome Tonight	Jaye P. Morgan
1959-11-21	Honestly And Truly	Tommy Edwards
1960-02-27	Sleepy Lagoon	The Platters
1960-03-05	Clementine	Jan & Dean
1960-10-29	Patsy	Jack Scott
1960-11-26	The Green Leaves Of Summer	The Brothers Four
1961-01-14	Don't Read The Letter	Patti Page
1961-02-25	When I Fall In Love	Etta Jones
1961-04-08	Ling-Ting-Tong	Buddy Knox
1961-11-25	My Heart Belongs To Only You	Jackie Wilson
1962-03-03	Bandit Of My Dreams	Eddie Hodges
1962-04-28	Patricia - Twist	Perez Prado And His Orchestra
1962-10-06	...And Then There Were Drums	Sandy Nelson
1962-12-15	Road Hog	John D. Loudermilk
1963-01-05	You're Gonna Need Me	Barbara Lynn
1963-03-30	Sax Fifth Avenue	Johnny Beecher and his Buckingham Road Quintet
1963-04-13	Amy	Paul Petersen
1963-06-01	Patty Baby	Freddy Cannon
1963-08-03	I Will Love You	Richard Chamberlain
1964-05-16	Loving You More Every Day	Etta James
1964-05-23	The Loneliest Night	Dale & Grace
1964-10-10	Try Me	Jimmy Hughes
1964-11-14	Little Honda	The Beach Boys
1965-01-02	Getting Mighty Crowded	Betty Everett
1965-02-13	Comin' On Too Strong	Wayne Newton
1965-05-29	The Climb	The Kingsmen
1965-07-10	One Monkey Don't Stop No Show	Joe Tex
1965-08-21	Here I Am	Dionne Warwick
1966-02-19	Michelle	Bud Shank
1966-04-16	Follow Me	Lyme & Cybelle
1966-05-14	He Cried	The Shangri-Las
1966-06-04	Truly Julie's Blues (I'll Be There)	Bob Lind
1966-07-02	Neighbor, Neighbor	Jimmy Hughes
1966-07-23	Lara's Theme from "Dr. Zhivago"	Roger Williams
1966-10-01	Poverty	Bobby Bland
1966-10-08	Can't Satisfy	The Impressions
1966-12-03	We Got A Thing That's In The Groove	The Capitols
1967-02-25	There Goes My Everything	Jack Greene
1967-05-13	It's All Over Now	Casinos
1967-07-08	Summer And Sandy	Lesley Gore
1967-08-26	Funky Broadway Part I	Dyke And The Blazers
1967-09-02	Turn On Your Love Light	Oscar Toney, Jr.
1967-10-14	Purple Haze	The Jimi Hendrix Experience
1967-12-09	Ooh Baby	Deon Jackson
1968-02-24	This Is The Thanks I Get	Barbara Lynn
1968-03-30	Sit With The Guru	Strawberry Alarm Clock
1968-06-29	The Doctor	Mary Wells
1968-08-17	God Bless Our Love	The Ballads
1968-09-21	(There's) Always Something There To Remind Me	Dionne Warwick
1968-12-14	I Walk Alone	Marty Robbins
1968-12-21	Good Time Girl	Nancy Sinatra
1968-12-28	Season Of The Witch, Pt. 1	Vanilla Fudge
1969-05-03	Love Is All I Have To Give	The Checkmates, Ltd.
1969-07-19	The Feeling Is Right	Clarence Carter
1969-09-27	I Want You To Know	The New Colony Six
1969-11-01	Since I Met You, Baby	Sonny James
1969-12-06	Ballad Of Easy Rider	The Byrds
1969-12-20	Volunteers	Jefferson Airplane
1970-04-04	Living Loving Maid (She's Just A Woman)	Led Zeppelin
1971-09-25	Think His Name	Johnny Rivers
1971-11-13	Rub It In	Layng Martine
1972-02-05	Another Puff	Jerry Reed
1972-03-18	Cheer	Potliquor
1972-05-06	Jubilation	Paul Anka
1972-07-15	Men Of Learning	Vigrass & Osborne
1972-08-05	Look What They've Done To My Song, Ma	Ray Charles
1972-08-19	Starman	David Bowie
1972-11-11	If You Can Beat Me Rockin' (You Can Have My Chair)	Laura Lee
1972-12-09	Day And Night	The Wackers
1973-01-13	Anthem	Wayne Newton
1973-02-24	Palace Guard	Rick Nelson And The Stone Canyon Band
1973-08-18	Sixty Minute Man/Mother-In-Law	Clarence Carter
1973-09-08	Slick	Willie Hutch
1973-10-20	This Time It's Real	Tower Of Power
1973-12-01	It's All Over	The Independents
1974-01-12	Hangin' Around	Edgar Winter Group
1974-02-02	Raised On Robbery	Joni Mitchell
1974-02-16	Jessica	The Allman Brothers Band
1974-12-07	Sexy Ida (Part 1)	Ike & Tina Turner
1975-02-01	Hoppy, Gene And Me	Roy Rogers
1975-11-15	Bringing It Back	Elvis Presley
1976-02-07	Honey I	George McCrae
1976-02-28	If I Only Knew	Ozark Mountain Daredevils
1976-04-10	Here, There And Everywhere	Emmylou Harris
1976-05-15	Lookin' Out For #1	Bachman-Turner Overdrive
1976-08-14	Ode To Billy Joe - Main Title	Bobbie Gentry
1976-12-18	Sixteen Reasons	Laverne & Shirley
1977-01-29	Baby, You Look Good To Me Tonight	John Denver
1977-02-05	Daddy Cool	Boney M.
