최초92위 날짜	곡 제목	아티스트
1958-09-06	Invitation To The Blues	Ray Price
1958-09-20	Young School Girl	Fats Domino
1958-09-27	Tic Toc	Lee Allen And His Band
1958-11-08	Hold It	Bill Doggett
1958-11-15	Coquette	Fats Domino
1959-03-07	City Lights	Ivory Joe Hunter
1959-03-28	A House Of Love	Scott Garrett
1959-04-25	A Touch Of Pink	Jerry Wallace
1959-05-09	Eternally	Thomas Wayne With the Delons
1959-07-18	Little Girl	Ritchie Valens
1959-08-08	You Don't Know Girls	Kathy Linden
1959-10-17	Living Doll	David Hill
1960-03-12	Whatcha' Gonna Do	Nat King Cole
1960-07-23	Honky-Tonk Girl	Johnny Cash
1960-10-29	Midnight Lace - Part I	Ray Conniff His Orchestra And Chorus
1960-12-24	Talk To Me Baby	Annette With The Afterbeats
1961-01-21	Trouble In Mind	Nina Simone
1961-02-11	Don't Let Him Shop Around	Debbie Dean
1961-04-01	Kokomo	The Flamingos
1961-06-17	The Float	Hank Ballard And The Midnighters
1961-09-09	I Can't Take It	Mary Ann Fisher
1961-09-16	Girl In My Dreams	The Capris
1961-10-07	Honky Train	Bill Black's Combo
1961-10-28	Why Not Now	Matt Monro
1961-11-25	You're Following Me	Perry Como
1961-12-09	(How Can I Write On Paper) What I Feel In My Heart	Jim Reeves
1961-12-30	Pushin' Your Luck	Sleepy King
1962-01-13	Island In The Sky	Troy Shondell
1962-01-27	The Door Is Open	Tommy Hunt
1962-02-03	Teen Queen Of The Week	Freddy Cannon
1962-02-24	I Can't Say Goodbye	Bobby Vee
1962-04-07	Cookin'	Al Casey Combo
1962-04-14	Sugar Blues	Ace Cannon
1962-05-05	-twistin'-White Silver Sands	Bill Black's Combo
1962-05-19	Dream	Dinah Washington
1962-07-21	Don't Cry, Baby	Aretha Franklin
1962-09-15	Copy Cat	Gary U.S. Bonds
1962-11-03	Aladdin	Bobby Curtola
1962-11-17	Four Walls	Kay Starr
1962-12-15	Limelight	Mr. Acker Bilk
1963-02-16	Zing! Went The Strings Of My Heart	The Furys
1963-03-16	The Brightest Smile In Town	Ray Charles and his Orchestra
1963-04-13	Preacherman	Charlie Russo
1963-06-08	Soulville	Dinah Washington
1963-06-15	Spring In Manhattan	Tony Bennett
1963-06-22	Yeh-Yeh!	Mongo Santamaria Orch.
1963-08-24	I'm Not A Fool Anymore	T.K. Hulin
1963-09-07	Do The Monkey	King Curtis
1963-09-28	Mr. Wishing Well	Nat King Cole
1963-10-05	Toys In The Attic	Jack Jones
1963-10-26	It's A Mad, Mad, Mad, Mad World	The Shirelles
1963-11-30	Now!	Lena Horne
1963-12-14	Crossfire Time	Dee Clark
1964-02-08	Little Boy	The Crystals
1964-02-15	I Didn't Know What Time It Was	The Crampton Sisters
1964-02-22	How Much Can A Lonely Heart Stand	Skeeter Davis
1964-04-11	Hand It Over	Chuck Jackson
1964-04-18	I'm The Lonely One	Cliff Richard
1964-05-02	Soul Hootenanny (Pt. I)	Gene Chandler
1964-06-06	That's Really Some Good	Rufus & Carla
1964-06-27	Four By The Beatles	The Beatles
1964-07-04	Viva Las Vegas	Elvis Presley
1964-07-11	If You See My Love	Lenny Welch
1964-08-08	Silly Ol' Summertime	The New Christy Minstrels
1964-08-29	I Don't Care (Just As Long As You Love Me)	Buck Owens
1964-10-10	The Dartell Stomp	The Mustangs
1964-10-24	Yes I Do	Solomon Burke
1964-11-14	Why (Doncha Be My Girl)	The Chartbusters
1964-12-05	Here She Comes	The Tymes
1965-01-02	Have Mercy Baby	James Brown And The Famous Flames
1965-02-13	I Want My Baby Back	Jimmy Cross
1965-03-06	You Can't Hurt Me No More	Gene Chandler
1965-05-15	Tommy	Reparata And The Delrons
1965-07-17	Stop! Look What You're Doing	Carla Thomas
1965-09-04	Good Times	Gene Chandler
1965-10-09	The Organ Grinder's Swing	Jimmy Smith With Kenny Burrell And Grady Tate
1965-10-23	Autumn Leaves - 1965	Roger Williams
1965-11-27	I Don't Know What You've Got But It's Got Me - Part I	Little Richard
1965-12-04	She's With Her Other Love	Leon Hayward
1965-12-18	Quiet Nights Of Quiet Stars	Andy Williams
1966-01-08	Follow Your Heart	The Manhattans
1966-01-29	My Answer	Jimmy McCracklin
1966-03-05	Put Yourself In My Place	The Elgins
1966-03-12	Shake Hands (And Come Out Crying)	The Newbeats
1966-05-07	Bad Eye	Willie Mitchell
1966-05-28	So Much Love	Steve Alaimo
1966-06-25	I'll Be Gone	Pozo Seco Singers
1966-09-10	Roller Coaster	The Ides Of March
1966-11-12	It's Not The Same	Anthony & The Imperials
1966-11-26	Respect	The Rationals
1966-12-17	Questions And Answers	The In Crowd
1967-02-11	Trouble Down Here Below	Lou Rawls
1967-02-25	Girls Are Out To Get You	The Fascinations
1967-03-25	Walk Tall	2 Of Clubs
1967-04-08	She Took You For A Ride	Aaron Neville
1967-04-22	Sam's Place	Buck Owens and The Buckaroos
1967-05-06	When Love Slips Away	Dee Dee Warwick
1967-05-20	Beat The Clock	The McCoys
1967-05-27	That's Someone You Never Forget	Elvis Presley With The Jordanaires
1967-06-03	Stop! And Think It Over	Perry Como
1967-07-29	It's Been A Long Long Time	The Elgins
1967-08-26	Stout-Hearted Men	Barbra Streisand
1967-09-09	Our Song	Jack Jones
1967-10-07	Peas 'N' Rice	Freddie McCoy
1967-10-21	Believe In Me Baby - Part I	Jesse James
1967-12-02	On A Saturday Night	Eddie Floyd
1968-01-06	Mellow Moonlight	Leon Haywood
1968-01-20	Hey Boy Take A Chance On Love	Ruby Andrews
1968-02-17	If You Ever Leave Me	Jack Jones
1968-03-02	Love Explosion	Troy Keyes
1968-03-16	The Father Of Girls	Perry Como
1968-05-11	He Don't Really Love You	The Delfonics
1968-07-20	Just A Little Bit	Blue Cheer
1968-08-31	Tell Someone You Love Them	Dino, Desi & Billy
1968-10-19	Listen, They're Playing My Song	Ray Charles
1968-11-02	Billy You're My Friend	Gene Pitney
1969-02-08	The Carroll County Accident	Porter Wagoner
1969-02-22	Only The Lonely	Sonny James
1969-03-29	Hallways Of My Mind	The Dells
1969-04-05	Born Again	Sam & Dave
1969-04-19	California Girl (And The Tennessee Square)	Tompall & The Glaser Brothers
1969-06-07	Let's Dance	Ola & The Janglers
1969-06-21	Son Of A Travelin' Man	Ed Ames
1969-07-12	Wake Up	The Chambers Brothers
1969-08-02	Let's Call It A Day Girl	Bobby Vee
1969-08-23	Oh How Happy	Blinky & Edwin Starr
1969-09-06	Green Fields	The Vogues
1969-12-06	(One Of These Days) Sunday's Gonna' Come On Tuesday	The New Establishment
1969-12-13	You Keep Me Hanging On	Wilson Pickett
1970-01-24	Johnny B. Goode	Johnny Winter
1970-02-28	The Fightin' Side Of Me	Merle Haggard And The Strangers
1970-03-21	You Keep Tightening Up On Me	The Box Tops
1970-05-30	Some Beautiful	Jack Wild
1970-08-22	Border Song	Elton John
1970-10-10	Up On The Roof	Laura Nyro
1970-10-24	Run, Woman, Run	Tammy Wynette
1970-12-26	Help Me Find A Way (To Say I Love You)	Little Anthony And The Imperials
1971-01-09	Revival (Love Is Everywhere)	The Allman Brothers Band
1971-02-06	The Glory Of Love	The Dells
1971-02-27	Beginning To Feel The Pain	Mac Davis
1971-04-10	Chirpy Chirpy, Cheep Cheep	Lally Stott
1971-04-24	Be My Baby	Cissy Houston
1971-07-31	It's About Time	The Dillards
1971-09-04	A Long Time, A Long Way To Go	Runt-Todd Rundgren
1971-10-16	Everything's Alright	Yvonne Elliman
1971-11-20	I Bet He Don't Love You (Like I Love You)	The Intruders
1972-02-12	Sweet Baby	Donnie Elbert
1972-02-19	It's Four In The Morning	Faron Young
1972-04-08	All His Children	Charley Pride with Henry Mancini
1972-06-03	I Got Some Help I Don't Need	B.B. King
1972-07-15	Mother Nature	The Temptations
1972-07-22	Rock And Roll Crazies	Stephen Stills-Manassas
1972-09-30	Mean Little Woman, Rosalie	Tommy Roe
1972-11-11	The People Tree	Sammy Davis, Jr. with The Mike Curb Congregation
1972-12-23	Knock Knock Who's There	Mary Hopkin
1973-05-12	Dueling Tubas	Martin Mull and Orchestra
1973-06-30	My Heart Just Keeps On Breakin'	The Chi-lites
1973-10-20	Hey, Little Girl	Foster Sylvers
1973-10-27	Mr. Skin	Spirit
1973-12-22	Could You Ever Love Me Again	Gary & Dave
1974-02-09	The Real Me	The Who
