최초33위 날짜	곡 제목	아티스트
1958-10-11	Win Your Love For Me	Sam Cooke
1958-11-01	The Blob	The Five Blobs
1958-11-15	Love Makes The World Go 'round	Perry Como
1959-02-14	There Must Be A Way	Joni James
1959-04-25	I Miss You So	Paul Anka
1959-05-30	I Waited Too Long	LaVern Baker
1959-09-05	My Own True Love	Jimmy Clanton
1959-11-14	I've Been Around	Fats Domino
1959-11-28	(If You Cry) True Love, True Love	The Drifters
1960-01-23	How About That	Dee Clark
1960-03-05	Alvin's Orchestra	David Seville And The Chipmunks
1960-06-04	Think	James Brown And The Famous Flames
1960-06-11	All I Could Do Was Cry	Etta James
1960-09-03	Hot Rod Lincoln	Charlie Ryan and the Timberline Riders
1961-02-04	I'm Learning About Love	Brenda Lee
1961-02-25	Ain't That Just Like A Woman	Fats Domino
1961-03-11	Stayin' In	Bobby Vee
1961-05-13	The Continental Walk	Hank Ballard And The Midnighters
1961-06-10	What A Surprise	Johnny Maestro The Voice Of The Crests
1961-08-26	I Don't Want To Take A Chance	Mary Wells
1962-07-28	Bongo Stomp	Little Joey And The Flips
1962-08-25	The Ballad Of Paladin	Duane Eddy
1962-10-27	Hide & Go Seek, Part I	Bunker Hill
1962-11-03	Workin' For The Man	Roy Orbison
1963-01-19	Trouble Is My Middle Name	Bobby Vinton
1963-03-16	That's The Way Love Is	Bobby Bland
1963-03-23	Days Of Wine And Roses	Henry Mancini And His Orchestra
1963-08-10	Shake! Shake! Shake!	Jackie Wilson
1963-09-14	Desert Pete	The Kingston Trio
1963-11-02	Workout Stevie, Workout	Little Stevie Wonder
1963-11-09	Wild!	Dee Dee Sharp
1963-12-28	Bad Girl	Neil Sedaka
1964-02-01	Girls Grow Up Faster Than Boys	The Cookies
1964-03-14	Miller's Cave	Bobby Bare
1964-04-04	Tell It On The Mountain	Peter, Paul & Mary
1964-06-13	Goodbye Baby (Baby Goodbye)	Solomon Burke
1964-07-04	I'll Be In Trouble	The Temptations
1964-08-08	I Believe	The Bachelors
1964-08-15	She's The One	The Chartbusters
1964-09-26	Always Together	Al Martino
1964-10-24	I've Got Sand In My Shoes	The Drifters
1964-11-21	Who Can I Turn To (When Nobody Needs Me)	Tony Bennett
1965-01-16	Hawaii Tattoo	The Waikikis
1965-03-27	Don't Mess Up A Good Thing	Fontella Bass & Bobby McClure
1965-06-05	Three O'Clock In The Morning	Bert Kaempfert And His Orchestra
1965-11-20	Ring Dang Doo	Sam The Sham and the Pharaohs
1965-11-27	Rusty Bells	Brenda Lee
1965-12-11	Mystic Eyes	Them
1966-01-08	You've Been Cheatin'	The Impressions
1966-01-29	Tell Me Why	Elvis Presley With The Jordanaires
1966-03-05	Long Live Our Love	The Shangri-Las
