최초15위 날짜	곡 제목	아티스트
1958-08-30	Volare (Nel Blu Dipinto Di Blu)	Dean Martin
1958-10-11	You Cheated	The Shields
1958-11-22	Cannonball	Duane Eddy His Twangy Guitar And The Rebels
1958-11-29	I'll Wait For You	Frankie Avalon
1958-12-20	Love Is All We Need	Tommy Edwards
1959-01-31	(All of a Sudden) My Heart Sings	Paul Anka
1959-07-11	M.T.A.	The Kingston Trio
1959-08-22	What Is Love?	The Playmates
1959-11-14	The Enchanted Sea	The Islanders
1959-11-28	Dance With Me	The Drifters
1960-01-02	Sandy	Larry Hall
1960-03-19	Beatnik Fly	Johnny And The Hurricanes
1960-05-07	Doggin' Around	Jackie Wilson
1960-07-02	Alley-Oop	Dante and the Evergreens
1960-08-20	A Woman, A Lover, A Friend	Jackie Wilson
1960-10-08	Three Nights A Week	Fats Domino
1960-12-24	Perfidia	The Ventures
1961-01-07	Wonderland By Night	Louis Prima
1961-05-06	Tonight I Fell In Love	The Tokens
1961-08-19	Let The Four Winds Blow	Fats Domino
1961-10-07	Bless You	Tony Orlando
1962-01-13	Revenge	Brook Benton
1962-02-10	Irresistible You	Bobby Darin
1962-04-07	Please Don't Ask About Barbara	Bobby Vee
1962-06-02	I Sold My Heart To The Junkman	The Blue-Belles
1962-06-16	Follow That Dream	Elvis Presley
1962-07-07	Sharing You	Bobby Vee
1962-08-25	Heart In Hand	Brenda Lee
1962-11-24	Desafinado	Stan Getz / Charlie Byrd
1963-03-30	Laughing Boy	Mary Wells
1963-04-20	Twenty Miles	Chubby Checker
1963-08-10	Abilene	George Hamilton IV
1963-09-21	Painted, Tainted Rose	Al Martino
1963-09-28	Little Deuce Coupe	The Beach Boys
1964-01-11	Pretty Paper	Roy Orbison
1964-02-08	Daisy Petal Pickin'	Jimmy Gilmer And The Fireballs
1964-02-22	Southtown, U.S.A.	The Dixiebelles
1964-04-18	You're A Wonderful One	Marvin Gaye
1964-05-02	Shangri-La	Robert Maxwell His Harp And Orchestra
1964-05-30	Cotton Candy	Al Hirt
1964-07-25	Try It Baby	Marvin Gaye
1964-10-10	I'm On The Outside (Looking In)	Little Anthony And The Imperials
1964-10-17	You Must Believe Me	The Impressions
1964-11-07	Everybody Knows (I Still Love You)	The Dave Clark Five
1965-01-23	Willow Weep For Me	Chad & Jeremy
1965-02-20	Laugh, Laugh	The Beau Brummels
1965-04-03	Don't Let Me Be Misunderstood	The Animals
1965-04-17	The Race Is On	Jack Jones
1965-07-24	Marie	The Bachelors
1965-08-21	All I Really Want To Do	Cher
1965-11-13	But You're Mine	Sonny & Cher
1965-12-04	May The Bird Of Paradise Fly Up Your Nose	Little Jimmy Dickens
1966-01-29	Spanish Eyes	Al Martino
1966-08-20	Sweet Dreams	Tommy McLain
1966-09-03	Respectable	The Outsiders
1966-11-05	(You Don't Have To) Paint Me A Picture	Gary Lewis And The Playboys
1967-01-14	Talk Talk	The Music Machine
1967-01-28	Knight In Rusty Armour	Peter And Gordon
1967-02-11	Music To Watch Girls By	Bob Crewe Generation
1967-02-25	Pretty Ballerina	The Left Banke
1967-03-18	Darling Be Home Soon	The Lovin' Spoonful
1967-03-25	The Return Of The Red Baron	The Royal Guardsmen
1967-04-22	Love Eyes	Nancy Sinatra
1967-05-06	When I Was Young	Eric Burdon & The Animals
1967-07-01	Alfie	Dionne Warwick
1967-07-15	Here We Go Again	Ray Charles
1968-01-13	Monterey	Eric Burdon & The Animals
1968-03-02	Words	Bee Gees
1968-03-09	The End Of Our Road	Gladys Knight And The Pips
1968-04-06	Kiss Me Goodbye	Petula Clark
1968-05-25	She's Lookin' Good	Wilson Pickett
1968-06-08	Delilah	Tom Jones
1968-08-31	Love Makes A Woman	Barbara Acklin
1968-11-30	Chewy Chewy	Ohio Express
1969-03-08	Give It Up Or Turnit A Loose	James Brown
1969-04-19	Don't Give In To Him	Gary Puckett And The Union Gap
1969-09-13	I'd Wait A Million Years	The Grass Roots
1969-11-08	Going In Circles	The Friends Of Distinction
1969-11-29	Cherry Hill Park	Billy Joe Royal
1970-02-21	The Thrill Is Gone	B.B. King
1970-03-28	Celebrate	Three Dog Night
1970-08-08	Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	James Brown
1970-10-17	Out In The Country	Three Dog Night
1971-02-20	Amazing Grace	Judy Collins
1971-04-03	Temptation Eyes	The Grass Roots
1971-07-17	Funky Nassau-Part I	The Beginning Of The End
1971-07-31	Here Comes That Rainy Day Feeling Again	The Fortunes
1971-08-21	Hot Pants (She Got To Use What She Got To Get What She Wants) (Pt. 1)	James Brown
1971-09-18	Won't Get Fooled Again	The Who
1971-10-30	Thin Line Between Love & Hate	The Persuaders
1971-12-25	Where Did Our Love Go	Donnie Elbert
1972-01-08	One Monkey Don't Stop No Show Part I	The Honey Cone
1972-02-12	Black Dog	Led Zeppelin
1972-02-26	Don't Say You Don't Remember	Beverly Bremers
1972-04-01	Rock And Roll Lullaby	B.J. Thomas
1972-06-10	Diary	Bread
1972-09-16	Beautiful Sunday	Daniel Boone
1972-12-30	Sweet Surrender	Bread
1973-03-24	Aubrey	Bread
1973-04-07	Space Oddity	David Bowie
1973-05-26	Funky Worm	Ohio Players
1973-07-21	Behind Closed Doors	Charlie Rich
1973-09-08	Are You Man Enough	Four Tops
1973-10-06	China Grove	The Doobie Brothers
1973-10-20	Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
1973-11-24	Cheaper To Keep Her	Johnnie Taylor
1974-01-19	Me And Baby Brother	War
1974-02-23	Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
1974-03-23	Trying To Hold On To My Woman	Lamont Dozier
1974-04-27	Keep On Singing	Helen Reddy
