최초62위 날짜	곡 제목	아티스트
1958-08-09	Crazy Eyes For You	Bobby Hamilton
1958-09-06	Cerveza	Boots Brown And His Blockbusters
1958-09-13	Over The Weekend	The Playboys
1958-10-18	The Ballad Of Thunder Road	Robert Mitchum
1958-12-13	Jealous Heart	Tab Hunter
1959-03-28	Because You're Young	Jimmie Rodgers
1959-04-18	The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha)	Pat Boone
1959-05-02	I Need Your Lovin'	Roy Hamilton
1959-05-30	(I Don't Care) Only Love Me	Steve Lawrence
1959-07-04	Cherrystone	Addrisi Brothers
1959-07-25	Crackin Up	Bo Diddley
1959-10-10	Six Boys And Seven Girls	Anita Bryant
1959-11-28	The Best Of Everything	Johnny Mathis
1960-04-09	Don't Deceive Me	Ruth Brown
1960-06-25	Exclusively Yours	Carl Dobkins, Jr.
1960-11-12	One Of The Lucky Ones	Anita Bryant
1961-04-01	The Blizzard	Jim Reeves
1961-04-15	Trees	The Platters
1961-08-26	Teardrops In My Heart	Joe Barry
1961-12-23	Turn Around, Look At Me	Glen Campbell
1962-07-28	If I Should Lose You	Dreamlovers
1962-09-15	Long As The Rose Is Red	Florraine Darlin
1962-12-08	Baby Has Gone Bye Bye	George Maharis
1962-12-15	Don't Go Near The Eskimos	Ben Colder
1962-12-29	Rainbow At Midnight	Jimmie Rodgers
1963-04-27	Bony Moronie	The Appalachians
1963-07-06	Gypsy Woman	Rick Nelson
1963-08-24	Leave Me Alone	Baby Washington
1963-09-14	Lucky Lips	Cliff Richard
1963-09-28	Surfer Joe	The Surfaris
1963-10-12	He's Mine (I Love Him, I Love Him, I Love Him)	Alice Wonder Land
1963-12-14	Dawn	The David Rockingham Trio
1964-04-04	Love With The Proper Stranger	Jack Jones
1964-04-18	Book Of Love	The Raindrops
1964-05-30	Donnie	The Bermudas
1964-09-12	Where Love Has Gone	Jack Jones
1964-10-17	La La La La La	The Blendells
1964-12-12	Listen Lonely Girl	Johnny Mathis
1965-04-03	Who Can I Turn To	Dionne Warwick
1965-07-17	Watermelon Man	Gloria Lynne
1966-02-12	I'm Too Far Gone (To Turn Around)	Bobby Bland
1966-02-19	Georgia On My Mind	The Righteous Brothers
1966-03-05	In My Room (El Amor)	Verdelle Smith
1966-04-16	Sippin' 'N Chippin'	The T-Bones
1966-05-28	Let Me Be Good To You	Carla Thomas
1966-06-18	Break Out	Mitch Ryder And The Detroit Wheels
1966-06-25	Cloudy Summer Afternoon (Raindrops)	Barry McGuire
1966-09-10	That's Enough	Rosco Robinson
1966-12-03	A Day In The Life Of A Fool	Jack Jones
1966-12-31	Baby What I Mean	The Drifters
1967-01-28	Oh Yeah!	The Joe Cuba Sextet
1967-04-29	The Lady Came From Baltimore	Bobby Darin
1967-11-25	Go-Go Girl	Lee Dorsey
1967-12-16	Piece Of My Heart	Erma Franklin
1968-01-27	Lost	Jerry Butler
1968-02-24	Looking For A Fox	Clarence Carter
1968-04-20	Red Red Wine	Neil Diamond
1968-05-25	I Promise To Wait My Love	Martha Reeves & The Vandellas
1968-09-14	Workin' On A Groovy Thing	Patti Drew
1968-10-19	Porpoise Song	The Monkees
1969-02-01	Rain In My Heart	Frank Sinatra
1969-05-10	Happy Heart	Petula Clark
1969-05-31	Pretty World	Sergio Mendes & Brasil '66
1969-06-21	Hushabye	Jay & The Americans
1969-08-09	While You're Out Looking For Sugar?	The Honey Cone
1969-08-23	That's The Way God Planned It	Billy Preston
1969-09-06	I Do	The Moments
1970-02-14	Got To See If I Can't Get Mommy (To Come Back Home)	Jerry Butler
1970-03-14	Victoria	The Kinks
1970-04-18	Nothing Succeeds Like Success	Bill Deal & The Rhondels
1970-06-20	That Same Old Feeling	The Fortunes
1970-09-19	Screaming Night Hog	Steppenwolf
1971-01-16	Gypsy Queen - Part 1	Gypsy
1971-01-23	Church Street Soul Revival	Tommy James
1971-03-20	Don't Make Me Pay For His Mistakes	Z.Z. Hill
1971-04-24	I Wish I Were	Andy Kim
1971-07-10	Do You Know What Time It Is?	P-Nut Gallery
1971-09-25	Them Changes	Buddy Miles & The Freedom Express
1971-10-23	That's The Way A Woman Is	Messengers
1972-01-08	No Sad Song	Helen Reddy
1972-04-08	Louisianna	Mike Kennedy
1972-08-19	Alabama Wild Man	Jerry Reed
1972-10-14	Guess Who/Them Changes	B.B. King
1973-05-26	Only In Your Heart	America
1973-07-21	I'd Rather Be A Cowboy	John Denver
1973-09-29	Everybody's Had The Blues	Merle Haggard And The Strangers
1973-12-22	River	Joe Simon
1974-03-09	I Just Can't Get You Out Of My Mind	Four Tops
1974-04-13	Happiness Is Me And You	Gilbert O'Sullivan
1974-08-24	Secretary	Betty Wright
1974-09-07	Door To Your Heart	The Dramatics
1974-11-02	La La Peace Song	O.C. Smith
1974-12-07	I'll Be Your Everything	Percy Sledge
1975-03-15	Love Corporation	The Hues Corporation
1975-07-12	Got To Get You Into My Life	Blood, Sweat & Tears
1975-10-25	Dear Prudence	Katfish
1976-03-20	Locomotive Breath	Jethro Tull
1976-04-03	Ophelia	The Band
1976-05-08	Everyday Without You	Hamilton, Joe Frank & Reynolds
1976-06-12	Lonely Teardrops	Narvel Felts
1976-10-02	The More You Do It (The More I Like It Done To Me)	Ronnie Dyson
1977-03-05	I'll Always Call Your Name	Little River Band
1977-04-02	Your Own Special Way	Genesis
1977-04-30	Sub-rosa Subway/calling Occupants	Klaatu
1977-10-08	Little Queen	Heart
1978-01-21	You Make Me Crazy	Sammy Hagar
1978-06-24	So Hard Livin' Without You	Airwaves
1978-09-02	Surrender	Cheap Trick
1979-01-13	Silver Lining	Player
1979-02-24	Baby, I Need Your Lovin'	Eric Carmen
1979-05-19	Star Love	Cheryl Lynn
1979-08-18	Love Me Tonight	Blackjack
1980-04-26	Can't Put A Price On Love	The Knack
1980-12-13	Easy Love	Dionne Warwick
1980-12-27	Breakfast In America	Supertramp
1981-03-07	Keep This Train A-Rollin'	The Doobie Brothers
1981-04-04	Memories	Tierra
1981-08-22	We Can Get Together	Icehouse
1981-10-24	Take Me Now	David Gates
1982-01-16	Every Home Should Have One	Patti Austin
1982-03-27	Summer Nights	Survivor
1982-05-29	I Know What Boys Like	The Waitresses
1982-06-19	Happy Man	Greg Kihn Band
1982-07-03	I Want Candy	Bow Wow Wow
1982-07-17	To Dream The Dream	Frankie Miller
1982-07-31	Mega Force	707
1982-11-06	The Message	Grandmaster Flash
