최초70위 날짜	곡 제목	아티스트
1958-08-09	Try The Impossible	Lee Andrews And The Hearts
1958-12-13	I Want To Be Happy Cha Cha	The Tommy Dorsey Orchestra Starring Warren Covington
1959-01-17	Yellow Bird	The Mills Brothers
1959-01-31	Raspberries, Strawberries	The Kingston Trio
1959-03-07	Bunny Hop	The Applejacks
1959-05-09	I Told Myself A Lie	Clyde McPhatter
1959-06-13	Sweet Chile	Sheb Wooley
1959-12-26	Do-Re-Mi	Mitch Miller
1960-01-16	Skokiaan (South African Song)	Bill Haley And His Comets
1960-05-07	Easy Lovin'	Wade Flemons
1960-05-14	Besame Mucho (Part I)	The Coasters
1960-07-23	Do You Mind?	Andy Williams
1960-10-22	Theme From The Sundowners	Felix Slatkin Orchestra and Chorus
1960-11-12	(Theme from) "The Dark At The Top Of The Stairs"	Ernie Freeman
1960-12-10	Groovy Tonight	Bobby Rydell
1961-03-11	All Of Everything	Frankie Avalon
1961-04-01	Little Miss Stuck-Up	The Playmates
1961-06-24	Daydreams	Johnny Crawford
1961-10-07	Cinderella	Paul Anka
1962-03-03	Bermuda	Linda Scott
1962-07-28	I Just Can't Help It	Jackie Wilson
1962-11-24	Somebody Have Mercy	Sam Cooke
1963-01-26	Molly	Bobby Goldsboro
1963-06-08	A Stranger In Your Town	The Shacklefords
1963-06-29	Give Us Your Blessing	Ray Peterson
1963-08-31	This Is All I Ask	Tony Bennett
1963-10-26	Sweet Impossible You	Brenda Lee
1963-11-02	Strange Feeling	Billy Stewart
1963-12-21	Baby I Do Love You	The Galens
1964-02-22	Little Boxes	Pete Seeger
1964-04-18	You Lied To Your Daddy	The Tams
1964-09-12	Hold Me	P.J. Proby
1964-11-28	Chained And Bound	Otis Redding
1965-01-16	Lovely, Lovely (Loverly, Loverly)	Chubby Checker
1965-02-13	Diamond Head	The Ventures
1965-06-26	I Love You So	Bobbi Martin
1965-07-03	Temptation 'Bout To Get Me	The Knight Bros.
1965-08-14	Tickle Me	Elvis Presley With The Jordanaires
1965-12-04	The Revolution Kind	Sonny
1965-12-18	Our World	Johnny Tillotson
1966-01-22	Love (Makes Me Do Foolish Things)	Martha & The Vandellas
1966-04-16	Hi Heel Sneakers - Pt. 1	Ramsey Lewis Trio
1966-05-14	The Teaser	Bob Kuban And The In-Men
1966-06-04	Batman & His Grandmother	Dickie Goodman
1966-09-10	Get Away	Georgie Fame And The Blue Flames
1966-10-01	It Hurts Me	Bobby Goldsboro
1967-02-25	I Wish You Could Be Here	The Cyrkle
1967-03-25	That Acapulco Gold	The Rainy Daze
1967-04-15	Cry To Me	Freddie Scott
1967-06-17	You Can't Stand Alone	Wilson Pickett
1967-07-22	My World Fell Down	Sagittarius
1967-08-26	Slim Jenkin's Place	Booker T. & The MG's
1967-10-14	Baby I'm Lonely	The Intruders
1967-11-18	Nine Pound Steel	Joe Simon
1967-11-25	Sweet, Sweet Lovin'	The Platters
1968-10-12	Ice In The Sun	The Status Quo
1968-11-16	For Once In My Life	Jackie Wilson
1969-01-25	Looking Back	Joe Simon
1969-04-26	When You Dance	Jay & The Americans
1969-05-10	Where Do You Go To (My Lovely)	Peter Sarstedt
1969-05-24	Marley Purt Drive	Jose Feliciano
1969-11-15	I Still Believe In Tomorrow	John & Anne Ryder
1970-04-11	Is Anybody Goin' To San Antone	Charley Pride
1970-05-16	Grover Henson Feels Forgotten	Bill Cosby
1970-06-20	She Didn't Know (She Kept On Talking)	Dee Dee Warwick
1970-07-25	Song From M*A*S*H	Al DeLory
1971-02-13	(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt
1971-05-08	Nevada Fighter	Michael Nesmith & The First National Band
1971-07-17	In These Changing Times	Four Tops
1971-08-07	He's Gonna Step On You Again	John Kongos
1971-08-21	We Are Neighbors	The Chi-lites
1971-09-11	I'd Rather Be Sorry	Ray Price
1971-09-25	All My Trials	Ray Stevens
1971-11-06	I Like What You Give	Nolan
1972-02-19	Keep Playin' That Rock 'N' Roll	Edgar Winter's White Trash
1972-04-15	Nutrocker	Emerson, Lake & Palmer
1972-06-10	Guns, Guns, Guns	The Guess Who
1972-07-08	Bed And Board	Barbara Mason
1972-08-26	My Guy	Petula Clark
1972-12-09	What Would The Children Think	Rick Springfield
1973-01-06	You're A Lady	Dawn Featuring Tony Orlando
1973-03-24	Boo, Boo, Don't 'Cha Be Blue	Tommy James
1973-04-28	Nobody Wins	Brenda Lee
1973-05-05	Everything's Been Changed	The 5th Dimension
1973-05-19	First Cut Is The Deepest	Keith Hampshire
1973-08-11	Didn't I	Sylvia (R&B)
1973-10-20	Ridin' My Thumb To Mexico	Johnny Rodriguez
1974-02-23	Get That Gasoline Blues	NRBQ
1974-03-09	That's The Sound That Lonely Makes	Tavares
1974-06-01	Sleepin'	Diana Ross
1974-10-19	The Player - Part 1	First Choice
1974-11-23	Mississippi Cotton Picking Delta Town	Charley Pride
