최초51위 날짜	곡 제목	아티스트
1958-08-09	Alone With You	Faron Young
1959-01-17	Wiggle, Wiggle	The Accents
1959-05-02	I Still Get A Thrill (Thinking Of You)	Joni James
1959-06-06	Margie	Fats Domino
1959-06-27	Velvet Waters	The Megatrons
1959-09-12	Midnight Flyer	Nat King Cole
1959-10-17	I'll Be Seeing You	Tommy Sands
1960-03-26	The Same Old Me	Guy Mitchell
1960-05-14	Tell Me That You Love Me	Fats Domino
1960-07-23	Wake Me, Shake Me	The Coasters
1960-11-05	The Sundowners	Billy Vaughn And His Orchestra
1960-12-31	Christmas Auld Lang Syne	Bobby Darin
1961-05-27	In My Heart	The Timetones
1961-06-03	Buzz Buzz A-Diddle-It	Freddy Cannon
1961-06-17	Jimmy Martinez	Marty Robbins
1961-07-08	Watch Your Step	Bobby Parker
1961-08-12	Mighty Good Lovin'	The Miracles
1961-09-16	Roll Over Beethoven	The Velaires
1961-10-07	It's Your World	Marty Robbins
1962-02-24	That's My Pa	Sheb Wooley
1962-03-31	Pop-Eye	Huey Smith
1962-04-14	Annie Get Your Yo-Yo	Little Junior Parker
1962-12-22	That's Life (That's Tough)	Gabriel And The Angels
1963-01-05	Coney Island Baby	The Excellents
1963-03-09	Big Wide World	Teddy Randazzo
1963-05-11	Here I Stand	The Rip Chords
1963-06-01	Do It - Rat Now	Bill Black's Combo
1963-06-08	Don't Make My Baby Blue	Frankie Laine
1963-07-06	Shake A Tail Feather	The Five Du-Tones
1963-10-19	September Song	Jimmy Durante
1963-12-21	Long Tall Texan	Murry Kellum
1964-01-25	You're No Good	Betty Everett
1964-02-29	He'll Have To Go	Solomon Burke
1964-05-23	Soul Serenade	King Curtis
1964-06-06	Gonna' Get Along Without You Now	Tracey Dey
1964-06-27	My Baby Don't Dig Me	Ray Charles and his Orchestra
1964-07-18	The World I Used To Know	Jimmie Rodgers
1964-10-17	Good Night Baby	The Butterflys
1964-10-24	Baby Be Mine	The Jelly Beans
1965-01-02	The 81	Candy & The Kisses
1965-02-06	Little Bell	The Dixie Cups
1965-02-13	Voice Your Choice	The Radiants
1965-03-20	Angel	Johnny Tillotson
1965-04-03	You Got What It Takes	Joe Tex
1965-05-15	What Do You Want With Me	Chad & Jeremy
1965-09-18	I'll Take You Where The Music's Playing	The Drifters
1965-09-25	Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
1965-10-23	I Live For The Sun	The Sunrays
1965-12-25	Crystal Chandelier	Vic Dana
1966-01-08	A Young Girl	Noel Harrison
1966-01-29	Hurt	Little Anthony And The Imperials
1966-03-19	Dear Lover	Mary Wells
1966-05-07	Got My Mojo Working (Part I)	Jimmy Smith
1966-10-22	Mind Excursion	The Trade Winds
1966-11-26	A Symphony For Susan	The Arbors
1967-01-14	Goodnight My Love	The Happenings
1967-02-25	No Fair At All	The Association
1967-05-20	Little Games	The Yardbirds
1967-08-05	Pictures Of Lily	The Who
