최초30위 날짜	곡 제목	아티스트
1958-11-01	The Day The Rains Came	Raymond Lefevre and His Orchestra
1958-11-15	Fallin'	Connie Francis
1959-04-18	Yep!	Duane Eddy His Twangy Guitar And The Rebels
1959-05-16	Come To Me	Marv Johnson
1959-07-04	Little Dipper	The Mickey Mozart Quintet
1959-08-15	Till There Was You	Anita Bryant
1959-09-05	High Hopes	Frank Sinatra "and a bunch of kids"
1959-11-21	Living Doll	Cliff Richard and The Drifters
1960-02-20	Time And The River	Nat King Cole
1960-02-27	Too Much Tequila	The Champs
1960-04-02	Summer Set	Monty Kelly And His Orchestra
1960-05-14	The Madison Time - Part I	Ray Bryant Combo
1960-05-21	When You Wish Upon A Star	Dion & The Belmonts
1960-05-28	Nobody Loves Me Like You	The Flamingos
1960-06-04	Dutchman's Gold	Walter Brennan With Billy Vaughn and his Orchestra
1960-11-12	Love Walked In	Dinah Washington
1960-11-26	Ruby Duby Du	Tobin Mathews & Co.
1961-02-04	If I Didn't Care	The Platters
1961-02-18	(Ghost) Riders In The Sky	Ramrods
1961-03-18	Happy Birthday Blues	Kathy Young With The Innocents
1961-04-15	Trust In Me	Etta James
1961-05-06	What'd I Say	Jerry Lee Lewis And His Pumping Piano
1961-08-26	Princess	Frank Gari
1961-10-14	(He's) The Great Impostor	The Fleetwoods
1962-01-13	Jambalaya (On The Bayou)	Fats Domino
1962-02-17	Multiplication	Bobby Darin
1962-03-24	Jamie	Eddie Holland
1962-08-11	Route 66 Theme	Nelson Riddle
1962-10-20	King Of The Whole Wide World	Elvis Presley With The Jordanaires
1963-01-05	Monsters' Holiday	Bobby "Boris" Pickett And The Crypt-Kickers
1963-03-16	Hitch Hike	Marvin Gaye
1963-06-29	Every Step Of The Way	Johnny Mathis
1963-12-21	Baby Don't You Weep	Garnet Mimms & The Enchanters
1964-03-07	Bird Dance Beat	The Trashmen
1964-06-20	Beans In My Ears	The Serendipity Singers
1964-08-15	Sugar Lips	Al (He's the King) Hirt
1964-08-22	I'll Keep You Satisfied	Billy J. Kramer With The Dakotas
1965-01-09	Dear Heart	Jack Jones
1965-02-20	For Lovin' Me	Peter, Paul & Mary
1965-03-20	Stranger In Town	Del Shannon
1965-04-24	Land Of 1000 Dances	Cannibal And The Headhunters
1965-06-12	You Were Only Fooling (While I Was Falling In Love)	Vic Damone
1965-07-17	Girl Come Running	The 4 Seasons Featuring the "Sound of Frankie Valli"
1965-11-20	I Found A Girl	Jan & Dean
1966-02-19	Night Time	The Strangeloves
1966-04-09	Think I'll Go Somewhere And Cry Myself To Sleep	Al Martino
1966-04-23	I Hear Trumpets Blow	The Tokens
1966-05-21	I'll Take Good Care Of You	Garnet Mimms
1966-06-18	I Love You Drops	Vic Dana
1966-08-20	Distant Shores	Chad & Jeremy
1966-09-03	Go Ahead And Cry	The Righteous Brothers
1966-11-26	Louie, Louie	The Sandpipers
1966-12-31	Happenings Ten Years Time Ago	The Yardbirds
1967-05-06	My Back Pages	The Byrds
1967-09-02	The World We Knew (Over And Over)	Frank Sinatra
1967-09-23	Knock On Wood	Otis & Carla
1967-10-07	What Now My Love	Mitch Ryder
1967-11-25	Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
1968-02-10	Sunday Mornin'	Spanky And Our Gang
1968-07-06	Some Things You Never Get Used To	Diana Ross & The Supremes
1968-10-26	In-A-Gadda-Da-Vida	Iron Butterfly
1969-03-08	Good Lovin' Ain't Easy To Come By	Marvin Gaye & Tammi Terrell
1969-05-03	Mercy	Ohio Express
1969-07-19	The Popcorn	James Brown
1969-08-16	It's Getting Better	Mama Cass
1969-09-13	Commotion	Creedence Clearwater Revival
1969-10-25	Walk On By	Isaac Hayes
1969-12-13	Groovy Grubworm	Harlow Wilcox and the Oakies
1970-01-17	Cold Turkey	Plastic Ono Band
1970-02-07	She Came In Through The Bathroom Window	Joe Cocker
1970-05-30	Soolaimón (African Trilogy II)	Neil Diamond
1970-08-22	The Sly, Slick, And The Wicked	The Lost Generation
1970-10-31	Our House	Crosby, Stills, Nash & Young
1971-02-13	Precious, Precious	Jackie Moore
1971-08-14	Moon Shadow	Cat Stevens
1971-10-16	The Love We Had (Stays On My Mind)	The Dells
1972-04-01	Take A Look Around	The Temptations
1972-04-08	Do Your Thing	Isaac Hayes
1973-06-23	Give It To Me	The J. Geils Band
1973-09-22	Stoned Out Of My Mind	The Chi-lites
1973-10-13	In The Midnight Hour	Cross Country
1973-10-27	Jesse	Roberta Flack
1974-02-02	Joy Pt. I	Isaac Hayes
1974-07-13	Come Monday	Jimmy Buffett
1974-11-16	La La Peace Song	Al Wilson
1975-04-26	Shaving Cream	Benny Bell
1975-11-15	Just Too Many People	Melissa Manchester
1976-01-17	Let It Shine/He Ain't Heavy...He's My Brother	Olivia Newton-John
1976-03-20	Love Is The Drug	Roxy Music
1976-04-03	Love Fire	Jigsaw
1976-04-17	Fopp	Ohio Players
1976-10-09	Get The Funk Out Ma Face	The Brothers Johnson
1976-11-13	Nice 'N' Naasty	The Salsoul Orchestra
1977-04-09	At Midnight (My Love Will Lift You Up)	Rufus Featuring Chaka Khan
1977-07-23	The Killing Of Georgie (Part I And II)	Rod Stewart
1977-09-17	Hard Rock Cafe	Carole King
1977-10-08	Cat Scratch Fever	Ted Nugent
1978-02-04	Lovely Day	Bill Withers
1978-02-18	Street Corner Serenade	Wet Willie
1978-08-26	Rivers Of Babylon	Boney M.
1978-09-16	A Rock 'N' Roll Fantasy	The Kinks
1978-10-28	Took The Last Train	David Gates
1979-01-06	I Will Be In Love With You	Livingston Taylor
1979-03-24	Every Which Way But Loose	Eddie Rabbitt
1979-05-05	Happiness	The Pointer Sisters
1979-09-01	Oh Well	Rockets
1979-10-13	Rolene	Moon Martin
1979-11-03	So Good, So Right	Brenda Russell
1980-01-19	Rotation	Herb Alpert
1980-02-02	Do You Love What You Feel	Rufus And Chaka Khan
1980-06-14	Twilight Zone/Twilight Tone	The Manhattan Transfer
1980-06-28	Two Places At The Same Time	Ray Parker Jr. & Raydio
1980-08-16	Tulsa Time/Cocaine	Eric Clapton And His Band
1980-09-13	How Does It Feel To Be Back	Daryl Hall  John Oates
1981-07-11	Stronger Than Before	Carole Bayer Sager
1981-08-15	Double Dutch Bus	Frankie Smith
1981-10-24	He's A Liar	Bee Gees
1982-04-24	Mama Used To Say	Junior
1982-06-05	When He Shines	Sheena Easton
1982-09-25	Make Believe	Toto
1983-01-08	Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
1983-02-12	Space Age Love Song	A Flock Of Seagulls
1983-03-05	Dreamin' Is Easy	Steel Breeze
1983-03-26	Lies	Thompson Twins
1983-05-07	So Wrong	Patrick Simmons
1983-05-28	The One Thing	INXS
1983-09-10	Lady Love Me (One More Time)	George Benson
