최초76위 날짜	곡 제목	아티스트
1958-08-09	Just Married	Marty Robbins
1958-09-06	Where The Blue Of The Night	Tommy Mara
1959-01-10	Teach Me Tonight Cha Cha	The DeCastro Sisters
1959-05-30	Old Spanish Town	The Bell Notes
1959-09-19	Five Feet High And Rising	Johnny Cash
1960-09-10	How High The Moon (Part 1)	Ella Fitzgerald
1960-09-24	Tonight's The Night	The Chiffons
1960-12-31	We Have Love	Dinah Washington
1961-03-11	Won't Be Long	Aretha Franklin With The Ray Bryant Combo
1961-04-01	Little Pedro	The Olympics
1961-05-27	Son-In-Law	Louise Brown
1961-06-24	The Lonely Crowd	Teddy Vann
1961-07-22	Tender Years	George Jones
1961-09-02	Pitter-Patter	The Four Sportsmen
1961-12-30	Please Come Home For Christmas	Charles Brown
1962-02-17	Oliver Twist	Rod McKuen
1962-02-24	Midnight	Johnny Gibson
1962-04-14	Who Will The Next Fool Be	Bobby Bland
1962-08-25	I Want To Be Loved	Dinah Washington
1962-09-01	Too Late To Worry - Too Blue To Cry	Glen Campbell
1962-10-13	409	The Beach Boys
1962-11-03	I'm Here To Get My Baby Out Of Jail	The Everly Brothers
1962-11-17	The Alley Cat Song	David Thorne
1963-01-12	Echo	The Emotions
1963-06-29	Get Him	The Exciters
1963-09-07	Organ Shout	Dave "Baby" Cortez
1963-10-19	Little Eeefin Annie	Joe Perkins
1963-12-28	Come Dance With Me	Jay & The Americans
1964-02-22	Leaving Here	Eddie Holland
1964-07-18	Don't Take Your Love From Me	Gloria Lynne
1964-11-14	Hey Now	Lesley Gore
1965-01-02	Danny Boy	Patti LaBelle And The Blue Belles
1965-03-13	Cupid	Johnny Rivers
1965-05-22	The Mouse	Soupy Sales
1965-08-14	Canadian Sunset	Sounds Orchestral
1965-10-16	The World Through A Tear	Neil Sedaka
1965-10-30	Just One Kiss From You	The Impressions
1966-01-01	C.C. Rider	Bobby Powell
1966-02-12	We Know We're In Love	Lesley Gore
1966-03-05	Take Me For What I'm Worth	The Searchers
1966-03-12	Keep On Running	The Spencer Davis Group
1966-03-26	Wait A Minute	Tim Tam And The Turn-Ons
1966-07-23	Hey You! Little Boo-Ga-Loo	Chubby Checker
1966-08-20	Livin' Above Your Head	Jay & The Americans
1966-09-17	Baby Toys	The Toys
1967-05-20	One Hurt Deserves Another	The Raelets/Ray Charles Orchestra
1967-07-15	Give Me Time	Dusty Springfield
1967-08-12	I'll Turn To Stone	Four Tops
1967-09-23	Knucklehead	Bar-Kays
1967-12-02	Shame On Me	Chuck Jackson
1968-01-20	I Was Made To Love Her	King Curtis & The Kingpins
1968-01-27	(1-2-3-4-5-6-7) Count The Days	Inez & Charlie Foxx
1968-02-17	Stop	Howard Tate
1968-03-30	Come To Me Softly	Jimmy James & The Vagabonds
1968-05-25	Here's To You	Hamilton Camp
1968-09-14	That Kind Of Woman	Merrilee Rush & The Turnabouts
1968-12-14	Do You Wanna Dance	The Mamas & The Papas
1968-12-28	Love Machine	The O'Kaysions
1969-01-04	Chitty Chitty Bang Bang	Paul Mauriat
1969-01-25	I'm Gonna Hold On Long As I Can	The Marvelettes
1969-05-17	Gentle On My Mind	Aretha Franklin
1969-09-06	Rain	Jose Feliciano
1969-11-08	Julia	Ramsey Lewis
1969-11-22	Just A Little Love	B.B. King
1970-01-17	To Be Young, Gifted And Black	Nina Simone
1970-03-28	Silly, Silly, Fool	Dusty Springfield
1970-04-11	Run Sally Run	The Cuff Links
1970-08-15	Something	Booker T. & The MG's
1971-02-13	Ride A White Swan	Tyrannosaurus Rex
1971-05-08	The Animal Trainer And The Toad	Mountain
1971-07-31	Hill Where The Lord Hides	Chuck Mangione
1972-01-08	Love Potion Number Nine	The Coasters
1972-02-19	Will You Still Love Me Tomorrow	Roberta Flack
1972-04-01	Since I Fell For You	Laura Lee
1972-07-22	Vanilla Ólay	Jackie DeShannon
1972-08-19	If I Were A Carpenter	Bob Seger
1972-10-07	One More Chance	Ocean
1973-01-13	Mama Weer All Crazee Now	Slade
1973-02-03	Fever/My Crew	Rita Coolidge
1973-06-02	I'm A Stranger Here	Five Man Electrical Band
1973-12-29	Love, Reign O'er Me	The Who
1974-04-13	Pepper Box	The Peppers
1974-04-20	Power Of Love	Martha Reeves
1974-05-04	Under The Influence Of Love	Love Unlimited
1974-12-21	My Main Man	The Staple Singers
1975-06-21	Feelin' That Glow	Roberta Flack
1975-08-23	Inside My Love	Minnie Riperton
1975-10-18	Salsoul Hustle	The Salsoul Orchestra
1976-01-31	Funky Weekend	The Stylistics
1976-02-07	Make Love To Your Mind	Bill Withers
1976-05-08	Forever Lovers	Mac Davis
1976-05-29	High Out Of Time	Carole King
1976-06-26	Rain, Oh Rain	Fools Gold
