최초28위 날짜	곡 제목	아티스트
1958-08-09	A Certain Smile	Johnny Mathis
1958-08-16	Think It Over	The Crickets
1958-09-13	Ramrod	Duane Eddy His Twangy Guitar And The Rebels
1958-11-08	With Your Love	Jack Scott
1959-01-17	Peek-A-Boo	The Cadillacs
1959-02-28	The Story Of My Love	Conway Twitty
1959-04-25	Six Nights A Week	The Crests
1959-05-30	I've Come Of Age	Billy Storm
1959-07-11	Only Sixteen	Sam Cooke
1959-11-14	High School U.S.A.	Tommy Facenda
1959-11-21	The Enchanted Sea	The Exotic Sounds of Martin Denny
1960-05-21	Ooh Poo Pah Doo - Part II	Jessie Hill
1960-06-18	Jump Over	Freddy Cannon
1960-09-17	The Twist	Hank Ballard And The Midnighters
1960-09-24	Honest I Do	The Innocents
1960-10-15	Run Samson Run	Neil Sedaka
1960-12-31	Ruby	Ray Charles
1961-01-14	Gee Whiz	The Innocents
1961-03-11	Wheels	Billy Vaughn And His Orchestra
1961-03-18	For My Baby	Brook Benton
1961-04-08	Hide Away	Freddy King
1961-08-12	Runaround	The Regents
1961-10-14	So Long Baby	Del Shannon
1961-11-11	School Is In	Gary U.S. Bonds
1962-01-27	Turn On Your Love Light	Bobby Bland
1962-04-07	When My Little Girl Is Smiling	The Drifters
1962-06-23	Theme From Ben Casey	Valjean on Piano
1962-09-15	Come On Little Angel	The Belmonts
1962-11-17	That Stranger Used To Be My Girl	Trade Martin
1963-03-16	Boss Guitar	Duane Eddy and the Rebelettes
1963-04-20	I Got What I Wanted	Brook Benton
1963-05-04	Linda	Jan & Dean
1963-09-07	I Want To Stay Here	Steve & Eydie
1963-11-23	Your Other Love	Connie Francis
1964-03-14	I Wish You Love	Gloria Lynne
1964-06-06	Three Window Coupe	The Rip Chords
1964-07-18	Alone	The 4 Seasons
1964-10-17	On The Street Where You Live	Andy Williams
1965-06-12	Concrete And Clay	Unit Four plus Two
1965-07-17	Tonight's The Night	Solomon Burke
1965-08-14	Ride Your Pony	Lee Dorsey
1965-08-28	Looking Through The Eyes Of Love	Gene Pitney
1966-01-29	It Was A Very Good Year	Frank Sinatra
1966-05-21	The "A" Team	SSgt Barry Sadler
1966-07-09	Please Tell Me Why	The Dave Clark Five
1966-07-30	Where Were You When I Needed You	The Grass Roots
1966-08-27	Make Me Belong To You	Barbara Lewis
1966-10-01	Flamingo	Herb Alpert & The Tijuana Brass
1966-10-22	Girl On A Swing	Gerry And The Pacemakers
1966-12-10	Knock On Wood	Eddie Floyd
1967-07-08	Pay You Back With Interest	The Hollies
1967-10-21	Ode To Billie Joe	The Kingpins
1968-01-20	I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
1968-04-27	Forever Came Today	Diana Ross & The Supremes
1968-05-11	U.S. Male	Elvis Presley With The Jordanaires
1968-09-07	Mr. Businessman	Ray Stevens
1968-09-14	The Eyes Of A New York Woman	B.J. Thomas
1969-01-18	Bella Linda	The Grass Roots
1969-02-22	Sweet Cream Ladies, Forward March	The Box Tops
1969-03-08	Crossroads	Cream
1969-05-24	I Can't See Myself Leaving You	Aretha Franklin
1969-08-02	Reconsider Me	Johnny Adams
1969-08-23	Marrakesh Express	Crosby, Stills & Nash
1969-10-25	Make Believe	Wind
1969-11-01	Jesus Is A Soul Man	Lawrence Reynolds
1970-03-21	Do The Funky Chicken	Rufus Thomas
1970-05-23	Viva Tirado - Part I	El Chicano
1970-07-04	Check Out Your Mind	The Impressions
1971-02-20	Let Your Love Go	Bread
1971-02-27	Jody's Got Your Girl And Gone	Johnnie Taylor
1971-07-24	Wild Horses	The Rolling Stones
1971-09-25	Saturday Morning Confusion	Bobby Russell
1971-11-06	You've Got To Crawl (Before You Walk)	The 8th Day
1971-12-04	Wild Night	Van Morrison
1972-01-15	White Lies, Blue Eyes	Bullet
1972-07-22	Mary Had A Little Lamb/Little Woman Love	Wings
1972-08-19	Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
1973-04-28	One Man Band (Plays All Alone)	Ronnie Dyson
1973-05-05	Hallelujah Day	Jackson 5
1973-05-26	Armed And Extremely Dangerous	First Choice
1973-07-14	Satin Sheets	Jeanne Pruett
1973-07-28	Where Peaceful Waters Flow	Gladys Knight And The Pips
1973-09-01	You Light Up My Life/Believe In Humanity	Carole King
1973-10-06	Get It Together	Jackson 5
1974-01-19	If We Make It Through December	Merle Haggard
1974-03-09	I Like To Live The Love	B.B. King
1974-06-15	Son Of Sagittarius	Eddie Kendricks
1974-11-02	Distant Lover	Marvin Gaye
1974-11-30	Fire, Baby I'm On Fire	Andy Kim
1975-01-04	Dancin' Fool	The Guess Who
1975-01-18	From His Woman To You	Barbara Mason
1975-05-10	Young Americans	David Bowie
1975-07-19	Disco Queen	Hot Chocolate
1975-12-27	Full Of Fire	Al Green
1976-04-03	Only Love Is Real	Carole King
1976-05-29	Hurt/for The Heart	Elvis Presley
1976-06-12	Rock And Roll Love Letter	Bay City Rollers
1976-08-14	Something He Can Feel	Aretha Franklin
1976-12-04	It's A Long Way There	Little River Band
1977-03-05	Bite Your Lip (Get up and dance!)	Elton John
1977-05-21	Show You The Way To Go	The Jacksons
1977-06-11	Back Together Again	Daryl Hall  John Oates
1977-06-25	Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
1977-10-01	Daytime Friends	Kenny Rogers
1977-11-19	My Fair Share	Seals & Crofts
1978-01-21	Point Of Know Return	Kansas
1978-04-01	Hot Legs	Rod Stewart
1978-04-22	I'm Gonna Take Care Of Everything	Rubicon
1978-06-24	Almost Summer	Celebration featuring Mike Love
1978-11-18	One Nation Under A Groove - Part I	Funkadelic
1979-02-03	Home And Dry	Gerry Rafferty
1979-05-26	Old Time Rock & Roll	Bob Seger & The Silver Bullet Band
1979-07-21	Up On The Roof	James Taylor
1979-10-20	Midnight Wind	John Stewart
1979-12-15	I Need A Lover	John Cougar
1980-02-02	Forever Mine	The O'Jays
1980-05-24	The Seduction (Love Theme)	James Last Band
1980-06-07	Lady	The Whispers
1981-02-07	Killin' Time	Fred Knoblock & Susan Anton
1981-03-21	Guitar Man	Elvis Presley
1981-04-18	It's A Love Thing	The Whispers
1981-05-30	Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
1981-06-20	Still Right Here In My Heart	Pure Prairie League
1981-09-19	Draw Of The Cards	Kim Carnes
1982-02-20	All Our Tomorrows	Eddie Schwartz
1982-05-08	Stars on 45 III	Stars On
1982-08-14	If The Love Fits Wear It	Leslie Pearl
1982-09-18	Never Been In Love	Randy Meisner
1982-10-30	Athena	The Who
1982-12-11	Be My Lady	Jefferson Starship
1983-04-23	Whirly Girl	Oxo
1983-06-18	That's Love	Jim Capaldi
1983-10-22	Dr. Heckyll & Mr. Jive	Men At Work
1983-11-05	Foolin'	Def Leppard
1984-05-05	Show Me	Pretenders
1985-04-13	Radioactive	The Firm
1985-07-06	Cannonball	Supertramp
1985-09-21	I Got You Babe	UB40
1986-01-18	Sex As A Weapon	Pat Benatar
1986-03-22	Night Moves	Marilyn Martin
1986-05-31	All The Things She Said	Simple Minds
1986-06-28	One Hit (To The Body)	The Rolling Stones
1986-08-16	Rumbleseat	John Mellencamp
1986-10-04	Money$ Too Tight (To Mention)	Simply Red
1986-10-11	Point Of No Return	Nu Shooz
1987-02-07	Jimmy Lee	Aretha Franklin
1988-04-02	Never Knew Love Like This	Alexander O'Neal Featuring Cherrelle
1988-05-14	One Good Reason	Paul Carrack
1988-07-16	I Should Be So Lucky	Kylie Minogue
1989-01-28	Shake For The Sheik	The Escape Club
1989-10-14	What I Like About You	Michael Morales
