최초38위 날짜	곡 제목	아티스트
1958-10-18	The Hula Hoop Song	Teresa Brewer
1958-11-08	All Over Again	Johnny Cash
1958-11-29	A Part Of Me	Jimmy Clanton
1958-12-20	Big Bopper's Wedding	Big Bopper
1959-01-24	Rocka-Conga	The Applejacks
1959-02-21	Plain Jane	Bobby Darin
1959-03-14	The Hanging Tree	Marty Robbins
1959-06-06	So Close	Brook Benton
1959-06-20	The Class	Chubby Checker
1959-08-01	Since You've Been Gone	Clyde McPhatter
1959-09-19	I'm A Hog For You	The Coasters
1959-11-28	Talk To Me	Frank Sinatra
1959-12-19	Mighty Good	Ricky Nelson
1960-02-27	China Doll	The Ames Brothers
1960-04-30	Fannie Mae	Buster Brown
1960-07-23	Heartbreak (It's Hurtin' Me)	Little Willie John
1960-08-13	In The Still Of The Night	Dion & The Belmonts
1960-09-03	It Only Happened Yesterday	Jack Scott
1960-12-03	Natural Born Lover	Fats Domino
1961-01-21	My Last Date (With You)	Joni James
1961-04-08	Ginnie Bell	Paul Dino
1961-04-15	Like, Long Hair	Paul Revere & The Raiders
1961-05-13	I'm In The Mood For Love	The Chimes
1961-06-17	Better Tell Him No	The Starlets
1961-12-30	Hey! Little Girl	Del Shannon
1962-01-27	Poor Fool	Ike & Tina Turner
1962-04-07	Cry Baby Cry	The Angels
1962-07-14	Stranger On The Shore	Andy Williams
1962-09-22	I'm The Girl From Wolverton Mountain	Jo Ann Campbell
1962-09-29	I Love You The Way You Are	Bobby Vinton
1962-12-01	Mama Sang A Song	Walter Brennan
1963-01-19	Let's Kiss And Make Up	Bobby Vinton
1963-03-30	Why Do Lovers Break Each Other's Heart?	Bob B. Soxx And The Blue Jeans
1963-07-13	Swinging On A Star	Big Dee Irwin (with Little Eva)
1963-07-27	Hootenanny	The Glencoves
1964-03-14	Puppy Love	Barbara Lewis
1964-04-04	My Heart Cries For You	Ray Charles
1964-05-09	Stay Awhile	Dusty Springfield
1964-07-04	Giving Up	Gladys Knight And The Pips
1964-08-08	I'm Into Somethin' Good	Earl-Jean
1964-11-28	Shaggy Dog	Mickey Lee Lane
1965-08-28	You Tell Me Why	The Beau Brummels
1965-10-16	What Color (Is A Man)	Bobby Vinton
1965-12-04	(All Of A Sudden) My Heart Sings	Mel Carter
1966-01-15	I've Got To Be Somebody	Billy Joe Royal
1966-02-05	Tijuana Taxi	Herb Alpert & The Tijuana Brass
1966-05-14	Love Me With All Of Your Heart	The Bachelors
1966-08-20	Tar And Cement	Verdelle Smith
1967-02-25	Wish You Didn't Have To Go	James & Bobby Purify
1967-09-09	Little Ole Wine Drinker, Me	Dean Martin
1967-11-04	Big Boss Man	Elvis Presley
1967-11-25	Mr. Dream Merchant	Jerry Butler
1967-12-16	Beautiful People	Kenny O'Dell
1968-02-17	Born Free	The Hesitations
1968-10-26	Take Me For A Little While	Vanilla Fudge
1968-11-23	Do Something To Me	Tommy James And The Shondells
1968-12-07	Kentucky Woman	Deep Purple
1969-02-15	Does Anybody Know I'm Here	The Dells
1969-04-19	Don't Touch Me	Bettye Swann
1969-05-31	Seattle	Perry Como
1969-06-21	Special Delivery	1910 Fruitgum Co.
1969-07-05	The Minotaur	Dick Hyman & His Electric Eclectics
1969-08-09	Moonflight	Vik Venus Alias: Your Main Moon Man
1969-09-27	I'm A Better Man	Engelbert Humperdinck
1970-06-13	(You've Got Me) Dangling On A String	Chairman Of The Board
1970-06-27	I Want To Take You Higher	Sly & The Family Stone
1970-09-12	Everything's Tuesday	Chairman Of The Board
1971-01-23	Most Of All	B.J. Thomas
1971-09-11	I Likes To Do It	The People's Choice
1971-09-18	Surrender	Diana Ross
1971-10-09	MacArthur Park (Part II)	Four Tops
1972-05-06	Mister Can't You See	Buffy Sainte-Marie
1972-06-17	Long Haired Lover From Liverpool	Little Jimmy Osmond With The Mike Curb Congregation
1972-09-02	This World	The Staple Singers
1972-09-30	If You Leave Me Tonight I'll Cry	Jerry Wallace
1972-10-14	Rock Me Baby	David Cassidy
1972-12-09	Theme From The Men	Isaac Hayes
1973-05-12	Blue Suede Shoes	Johnny Rivers
1973-09-22	To Know You Is To Love You	B.B. King
1973-12-22	I Can't Stand The Rain	Ann Peebles
1974-02-09	I Shall Sing	Garfunkel
1974-12-07	Whatever You Got, I Want	Jackson 5
1975-05-17	Trampled Under Foot	Led Zeppelin
