최초34위 날짜	곡 제목	아티스트
1958-09-13	Dance Everyone Dance	Betty Madigan
1958-11-29	I'll Remember Tonight	Pat Boone
1959-09-26	You're Gonna Miss Me	Connie Francis
1959-11-14	If I Give My Heart To You	Kitty Kallen
1959-12-26	The Happy Reindeer	Dancer, Prancer And Nervous
1960-01-09	Talk That Talk	Jackie Wilson
1960-03-12	Chattanooga Shoe Shine Boy	Freddy Cannon
1960-06-04	Oh, Little One	Jack Scott
1960-09-24	Yes Sir, That's My Baby	Ricky Nelson
1960-12-03	My Dearest Darling	Etta James
1960-12-10	Ballad Of The Alamo	Marty Robbins
1961-02-25	No One	Connie Francis
1961-03-18	Your Friends	Dee Clark
1961-07-08	The Graduation Song... Pomp And Circumstance	Adrian Kimberly
1961-07-15	Rainin' In My Heart	Slim Harpo
1962-01-27	Pocketful Of Miracles	Frank Sinatra
1962-02-17	The Greatest Hurt	Jackie Wilson
1962-03-03	Twistin' Postman	The Marvelettes
1962-03-10	He Knows I Love Him Too Much	The Paris Sisters
1962-09-15	Stop The Wedding	Etta James
1963-01-19	See See Rider	LaVern Baker
1963-07-20	Be True To Yourself	Bobby Vee
1964-02-08	You'll Never Walk Alone	Patti LaBelle And The Blue Belles
1964-05-23	Kiss Me Quick	Elvis Presley With The Jordanaires
1964-06-06	Wrong For Each Other	Andy Williams
1964-06-20	Rock Me Baby	B.B. King
1964-08-01	Do I Love You?	The Ronettes
1964-09-26	Some Day We're Gonna Love Again	The Searchers
1964-10-03	You'll Never Get To Heaven (If You Break My Heart)	Dionne Warwick
1964-10-31	I Don't Want To See Tomorrow	Nat King Cole
1965-01-09	Wild One	Martha & The Vandellas
1965-01-30	Use Your Head	Mary Wells
1965-04-03	If I Ruled The World	Tony Bennett
1965-07-03	I'll Keep Holding On	The Marvelettes
1965-08-14	One Dyin' And A Buryin'	Roger Miller
1965-09-18	Who'll Be The Next In Line	The Kinks
1965-11-06	I Miss You So	Little Anthony And The Imperials
1966-04-02	Inside-Looking Out	The Animals
1966-05-14	I Can't Grow Peaches On A Cherry Tree	Just Us
1966-05-28	The Ballad Of Irving	Frank Gallop
1966-07-30	Billy And Sue	B.J. Thomas And The Triumphs
1967-01-14	There's Got To Be A Word!	The Innocence
1967-04-29	Music To Watch Girls By	Andy Williams
1967-06-24	The Oogum Boogum Song	Brenton Wood
1967-08-12	Baby You're A Rich Man	The Beatles
1967-11-18	Homburg	Procol Harum
1967-12-09	Paper Cup	The 5th Dimension
1967-12-30	Baby You Got It	Brenton Wood
1968-01-27	The Lesson	Vikki Carr
1968-02-17	You	Marvin Gaye
1968-03-30	Tapioca Tundra	The Monkees
1968-08-17	Hitch It To The Horse	The Fantastic Johnny C
1968-09-07	I Get The Sweetest Feeling	Jackie Wilson
1969-03-22	Sophisticated Cissy	The Meters
1969-03-29	No, Not Much	The Vogues
1969-04-12	Is It Something You've Got	Tyrone Davis
1969-05-03	To Know You Is To Love You	Bobby Vinton
1969-05-24	Nothing But A Heartache	The Flirtations
1969-07-12	The Days Of Sand And Shovels	Bobby Vinton
1969-09-20	Daddy's Little Man	O.C. Smith
1969-11-29	I Guess The Lord Must Be In New York City	Nilsson
1970-02-14	One Tin Soldier	The Original Caste
1970-02-21	Breaking Up Is Hard To Do	Lenny Welch
1970-08-29	I Want To Take You Higher	Ike & Tina Turner & The Ikettes
1970-12-26	I'm Not My Brothers Keeper	The Flaming Ember
1971-02-06	Get Up, Get Into It, Get Involved (Pt. 1)	James Brown
