최초8위 날짜	곡 제목	아티스트
1958-08-09	Rebel-'rouser	Duane Eddy His Twangy Guitar And The Rebels
1958-09-13	Western Movies	The Olympics
1958-09-27	Summertime Blues	Eddie Cochran
1958-11-22	I Got Stung	Elvis Presley
1959-02-14	Goodbye Baby	Jack Scott
1959-02-28	Peter Gunn	Ray Anthony and His Orchestra
1959-04-25	Tell Him No	Travis & Bob
1959-07-04	Bobby Sox To Stockings	Frankie Avalon
1959-08-08	What A Diff'rence A Day Makes	Dinah Washington
1959-09-12	I Want To Walk You Home	Fats Domino
1959-10-24	Primrose Lane	Jerry Wallace With The Jewels
1959-12-05	Be My Guest	Fats Domino
1960-03-26	Harbor Lights	The Platters
1960-04-09	Mama	Connie Francis
1960-07-02	My Home Town	Paul Anka
1960-07-16	When Will I Be Loved	The Everly Brothers
1960-07-30	Please Help Me, I'm Falling	Hank Locklin
1960-09-17	Yogi	The Ivy Three
1960-11-26	Alone At Last	Jackie Wilson
1960-12-24	You're Sixteen	Johnny Burnette
1961-03-18	Ebony Eyes	The Everly Brothers
1961-04-15	Asia Minor	Kokomo
1961-04-29	One Mint Julep	Ray Charles
1961-07-15	San Antonio Rose	Floyd Cramer
1961-08-05	Let's Twist Again	Chubby Checker
1961-10-21	Let's Get Together	Hayley Mills and Hayley Mills
1961-12-09	Tonight	Ferrante & Teicher
1962-02-03	Baby It's You	The Shirelles
1962-05-26	P.T. 109	Jimmy Dean
1962-06-09	The One Who Really Loves You	Mary Wells
1962-06-23	Cindy's Birthday	Johnny Crawford
1962-07-07	Snap Your Fingers	Joe Henderson
1962-08-11	You'll Lose A Good Thing	Barbara Lynn
1962-08-18	Little Diane	Dion
1962-12-22	Release Me	Esther Phillips "Little Esther"
1963-01-12	Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
1963-02-09	You've Really Got A Hold On Me	The Miracles
1963-03-09	Wild Weekend	The Rebels
1963-05-18	Reverend Mr. Black	The Kingston Trio
1963-05-25	Take These Chains From My Heart	Ray Charles
1963-06-08	Still	Bill Anderson
1963-08-24	More	Kai Winding & Orchestra
1963-09-07	The Monkey Time	Major Lance
1963-09-21	Mickey's Monkey	The Miracles
1963-11-16	Bossa Nova Baby	Elvis Presley With The Jordanaires
1964-01-04	Quicksand	Martha & The Vandellas
1964-01-11	The Nitty Gritty	Shirley Ellis
1964-02-15	Anyone Who Had A Heart	Dionne Warwick
1964-03-07	Stop And Think It Over	Dale & Grace
1964-05-09	Dead Man's Curve	Jan & Dean
1964-08-22	Walk-Don't Run '64	The Ventures
1964-12-19	Dance, Dance, Dance	The Beach Boys
1965-02-27	The Boy From New York City	The Ad Libs
1965-03-27	Goldfinger	Shirley Bassey
1965-04-10	Nowhere To Run	Martha & The Vandellas
1965-04-24	The Clapping Song (Clap Pat Clap Slap)	Shirley Ellis
1965-05-15	I'll Be Doggone	Marvin Gaye
1965-06-05	Just A Little	The Beau Brummels
1965-06-26	Hush, Hush, Sweet Charlotte	Patti Page
1965-07-17	You Turn Me On (Turn On Song)	Ian Whitcomb And Bluesville
1965-08-14	Don't Just Stand There	Patty Duke
1965-08-28	Hold Me, Thrill Me, Kiss Me	Mel Carter
1965-09-04	Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
1965-09-18	It Ain't Me Babe	The Turtles
1965-10-09	Baby Don't Go	Sonny & Cher
1965-11-20	Ain't That Peculiar	Marvin Gaye
1965-12-18	England Swings	Roger Miller
1966-01-22	A Must To Avoid	Herman's Hermits
1966-04-09	I'm So Lonesome I Could Cry	B.J. Thomas And The Triumphs
1966-05-14	Message To Michael	Dionne Warwick
1966-06-04	It's A Man's Man's Man's World	James Brown And The Famous Flames
1966-06-18	Green Grass	Gary Lewis And The Playboys
1966-07-09	Little Girl	Syndicate Of Sound
1966-07-30	Sweet Pea	Tommy Roe
1966-08-13	Mothers Little Helper	The Rolling Stones
1966-09-03	Working In The Coal Mine	Lee Dorsey
1966-09-17	Wouldn't It Be Nice	The Beach Boys
1966-11-05	If I Were A Carpenter	Bobby Darin
1966-12-31	(I Know) I'm Losing You	The Temptations
1967-01-28	Nashville Cats	The Lovin' Spoonful
1967-03-25	My Cup Runneth Over	Ed Ames
1967-04-01	Strawberry Fields Forever	The Beatles
1967-05-06	Close Your Eyes	Peaches & Herb
1967-06-17	All I Need	The Temptations
1967-07-01	Let's Live For Today	The Grass Roots
1967-07-29	White Rabbit	Jefferson Airplane
1967-09-30	Funky Broadway	Wilson Pickett
1967-11-04	(You Make Me Feel Like) A Natural Woman	Aretha Franklin
1968-02-03	Nobody But Me	The Human Beinz
