최초80위 날짜	곡 제목	아티스트
1958-08-23	Strange Are The Ways Of Love	Gogi Grant
1958-08-30	Volare (Nel Blu, Dipinto Di Blu)	The McGuire Sisters
1958-10-18	Just Young	Paul Anka
1959-01-24	Here I Stand	Wade Flemons and the Newcomers
1959-05-09	Little Queenie	Chuck Berry
1959-08-01	A Girl Like You	Gary Stites
1959-09-12	The Shape I'm In	Johnny Restivo
1960-01-30	I Forgot More Than You'll Ever Know	Sonny James
1960-02-13	Mumblin' Mosie	The Johnny Otis Show
1960-12-31	Make Someone Happy	Perry Como
1961-01-21	Sugar Bee	Cleveland Crochet and Band
1961-04-15	The Continental Walk	The Rollers
1961-05-06	You're Gonna Need Magic	Roy Hamilton
1961-06-10	Lonely Life	Jackie Wilson
1961-09-02	Starlight	The Preludes Five
1961-09-16	Night Train	Richard Hayman And His Orchestra
1961-09-23	Magic Is The Night	Kathy Young With The Innocents
1961-10-14	Back To The Hop	Danny & The Juniors
1962-06-02	Lipstick Traces (On A Cigarette)	Benny Spellman
1962-11-10	I'll Remember Carol	Tommy Boyce
1963-11-02	Everybody Go Home	Eydie Gorme
1964-06-06	A World Without Love	Bobby Rydell
1964-12-26	Scratchy	Travis Wammack
1965-03-13	Orange Blossom Special	Johnny Cash
1965-04-03	Gee Baby (I'm Sorry)	The Three Degrees
1965-09-18	Roundabout	Connie Francis
1965-12-18	I Won't Love You Anymore (Sorry)	Lesley Gore
1966-02-12	The Loop	Johnny Lytle
1966-03-05	I Confess	New Colony Six
1966-04-30	Real Humdinger	J.J. Barnes
1966-05-28	Marble Breaks And Iron Bends	Drafi
1966-06-18	Come On And See Me	Tammi Terrell
1966-07-09	Stop! - Get A Ticket	Clefs Of Lavender Hill
1966-08-13	I Put A Spell On You	Alan Price Set
1966-10-15	Tomorrow Never Comes	B.J. Thomas
1967-04-22	Do The Thing	Lou Courtney
1967-05-27	Eight Men, Four Women	O.V. Wright
1967-07-15	Mr. Pleasant	The Kinks
1967-09-23	I Can't Stay Away From You	The Impressions
1967-11-25	All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
1968-01-06	A Voice In The Choir	Al Martino
1968-04-06	Turn On Your Love Light	The Human Beinz
1968-04-27	Anything	Eric Burdon & The Animals
1968-08-17	Give Me One More Chance	Wilmer And The Dukes
1968-11-16	Sweet Darlin'	Martha Reeves & The Vandellas
1968-12-28	Vance	Roger Miller
1969-03-15	Goodbye Columbus	The Association
1969-04-19	Good Times Bad Times	Led Zeppelin
1969-05-10	Mr. Walker, It's All Over	Billie Jo Spears
1969-06-21	Sincerely	Paul Anka
1969-06-28	I'm Still A Struggling Man	Edwin Starr
1969-10-04	Can't Find The Time	Orpheus
1970-01-03	Together	The Illusion
1970-02-14	The Court Of The Crimson King - Part 1	King Crimson
1970-04-04	I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
1970-10-24	Got To Believe In Love	Robin McNamara
1971-01-30	Problem Child	Mark Lindsay
1971-02-20	Make Me Happy	Bobby Bloom
1971-07-10	Suspicious Minds	Dee Dee Warwick
1971-10-23	Midnight Man	James Gang
1972-05-13	Speak Softly Love	Al Martino
1972-05-27	The Young New Mexican Puppeteer	Tom Jones
1973-06-02	A Passion Play (Edit #8)	Jethro Tull
1973-06-30	Mother-in-law	Clarence Carter
1973-07-14	Friend Of Mine	Bill Withers
1973-07-21	There You Go	Edwin Starr
1973-09-08	The Peacemaker	Albert Hammond
1974-02-16	Let Me Get To Know You	Paul Anka
1974-03-09	Beyond The Blue Horizon	Lou Christie
