최초90위 날짜	곡 제목	아티스트
1958-08-09	Don't Go Home	The Playmates
1959-03-14	No Regrets	Jimmy Barnes
1959-04-25	Two Brothers	David Hill
1959-05-09	The Fountain Of Youth	The Four Lads
1959-06-06	Mary Ann Thomas	Bobby Freeman
1959-08-29	Betty My Angel	Jerry Fuller
1959-10-17	Goodbye Charlie	Patti Page
1960-01-02	The Sound Of Music	Patti Page
1960-01-23	I Can't Say Goodbye	The Fireflies Featuring Ritchie Adams
1960-02-13	Honey Love	Narvel Felts
1960-03-12	Suddenly	Nickey DeMatteo
1960-03-26	Jambalaya	Bobby Comstock And The Counts
1960-04-09	Adam And Eve	Paul Anka
1960-05-21	Mojo Workout (Dance)	Larry Bright
1960-11-12	Push Push	Austin Taylor
1960-11-26	Stranger From Durango	Richie Allen
1960-12-10	(You Better) Know What You're Doin'	Lloyd Price and His Orchestra
1961-03-18	Memphis	Donnie Brooks
1961-04-01	(Theme from) The Great Impostor	Henry Mancini And His Orchestra
1961-04-08	A City Girl Stole My Country Boy	Patti Page
1961-04-22	Hop Scotch	Santo & Johnny
1961-05-06	This World We Love In (Il Cielo In Una Stanza)	Mina
1961-08-26	My Heart's On Fire	Billy Bland
1961-09-23	Faraway Star	The Chordettes
1961-09-30	True, True Love	Frankie Avalon
1961-10-07	Laugh	The Velvets featuring Virgil Johnson
1962-02-10	Let's Go	Floyd Cramer
1962-03-10	Ida Jane	Fats Domino
1962-04-14	I'm On My Way	The Highwaymen
1962-05-19	Imagine That	Patsy Cline
1962-05-26	Adios Amigo	Jim Reeves
1962-10-13	You Can't Lie To A Liar	Ketty Lester
1962-12-15	I Found A New Baby	Bobby Darin
1963-01-05	Al Di La	Connie Francis
1963-02-02	Let Me Go The Right Way	The Supremes
1963-10-12	Detroit City No. 2	Ben Colder
1963-11-09	We Shall Overcome	Joan Baez
1963-12-28	I'll Search My Heart	Johnny Mathis
1964-01-18	Deep In The Heart Of Harlem	Clyde McPhatter
1964-02-08	Tell Him	The Drew-Vels
1964-04-18	Vanishing Point	The Marketts
1964-11-21	Never Trust A Woman	B.B. King
1964-12-19	Endless Sleep	Hank Williams Jr.
1965-04-24	Chains Of Love	The Drifters
1966-01-22	You Don't Know Like I Know	Sam & Dave
1966-02-12	Since I Lost The One I Love	The Impressions
1966-03-19	Moulty	The Barbarians
1966-04-16	La La La	Gerry And The Pacemakers
1966-08-27	Let Me Tell You, Babe	Nat King Cole
1966-12-17	(He's) Raining In My Sunshine	Jay & The Americans
1966-12-24	I'm Gonna Make You Mine	The Shadows Of Knight
1967-03-25	Why Not Tonight	Jimmy Hughes
1967-05-27	Hey Love	Stevie Wonder
1967-07-29	Pearl Time	Andre Williams
1967-09-16	Sweet Soul Medley - Part 1	The Magnificent Men
1967-12-02	Where Is The Party	Helena Ferguson
1967-12-23	Mr. Bus Driver	Bruce Channel
1968-01-27	Without Love (There Is Nothing)	Oscar Toney, Jr.
1968-04-20	You'll Never Walk Alone	Elvis Presley With The Jordanaires
1968-05-04	Soul Train	Classics IV
1968-05-25	Climb Every Mountain	The Hesitations
1968-10-19	Nitty Gritty	Ricardo Ray
1969-04-12	A Million To One	Brian Hyland
1969-05-03	Greensleeves	Mason Williams
1969-05-24	Sunday	The Moments
1969-12-27	Voodoo Woman	Simon Stokes/Nighthawks
1970-01-03	A World Without Music	Archie Bell & The Drells
1970-01-24	Theme Music For The Film "2001" A Space Odyssey from Also Sprach Zarathustr	Berlin Philharmonic
1970-02-14	A Friend In The City	Andy Kim
1970-05-02	More Than I Can Stand	Bobby Womack
1970-08-15	Mill Valley	Miss Abrams And The Strawberry Point School Third Grade Class
1970-09-05	I Can't Be You (You Can't Be Me)	The Glass House
1970-11-14	Thank God And Greyhound	Roy Clark
1971-01-02	Way Back Home	The Jazz Crusaders
1971-02-27	My Sweet Lord	Billy Preston
1971-03-06	Spinning Wheel (Pt. 1)	James Brown
1971-04-03	Soldier's Last Letter	Merle Haggard And The Strangers
1971-06-19	Help The Poor	B.B. King
1972-01-29	Open The Door (Song For Judith)	Judy Collins
1972-02-19	A Simple Game	Four Tops
1972-05-27	Questions	Bang
1972-07-01	Cat's Eye In The Window	Tommy James
1972-09-09	Summer Sun	Jamestown Massacre
1972-09-30	Keep On Running	Stevie Wonder
1972-12-09	I Received A Letter	Delbert & Glen
1973-01-27	On And Off (Part 1)	Anacostia
1973-09-29	He	Today's People
1973-10-27	Take A Closer Look At The Woman You're With	Wilson Pickett
1974-02-23	The Americans (A Canadian's Opinion)	Tex Ritter
1974-08-17	Captain Howdy	Simon Stokes
1975-03-22	You're A Part Of Me	Susan Jacks
1975-07-05	Keep Our Love Alive	Paul Davis
1975-07-26	Life And Death In G&A	Love Childs Afro Cuban Blues Band
1975-11-01	Just A Smile	Pilot
1976-03-13	Rattlesnake	Ohio Players
1976-08-21	Roxy Roller	Sweeney Todd
1977-05-28	Feel The Need	Detroit Emeralds
1977-06-25	This Will Be A Night To Remember	Eddie Holman
1977-07-16	Save Me	Donna McDaniel
1977-08-20	For A While	Mary Macgregor
1978-05-20	Stay Awhile	Continental Miniatures
1978-06-24	Shaker Song	Spyro Gyra
1979-08-18	Frederick	Patti Smith Group
1979-10-13	You Stepped Into My Life	Wayne Newton
1979-10-27	It's A Disco Night (Rock Don't Stop)	The Isley Brothers
1980-01-26	Trust Me	Cindy Bullens
1980-08-09	Where Did We Go Wrong	Frankie Valli & Chris Forde
1980-10-25	I Love Women	Jim Hurt
1981-07-11	On And On And On	ABBA
1981-09-05	Very Special	Debra Laws
1982-02-27	Cool (Part 1)	The Time
1983-11-12	Dirty Looks	Juice Newton
1984-03-24	Taxi	J. Blackfoot
1984-06-16	Too Young To Fall In Love	Motley Crue
1984-07-14	Don't Do Me	Randy Bell
1984-09-15	Bullish	Herb Alpert's Tijuana Brass
1985-05-25	Freak-A-Ristic	Atlantic Starr
1986-02-15	Life's What You Make It	Talk Talk
1986-03-15	I Found Someone	Laura Branigan
1986-08-16	Am I Forgiven	Isle Of Man
1986-11-08	I'm For Real	Howard Hewett
1987-07-11	Hearts Away	Night Ranger
1987-08-08	Montego Bay	Amazulu
1987-09-26	We Should Be Sleeping	Eddie Money
1988-03-19	Hey Mambo	Barry Manilow with Kid Creole & The Coconuts
1988-04-09	Family Man	Fleetwood Mac
1988-06-25	When You Walk In The Room	Paul Carrack
