최초13위 날짜	곡 제목	아티스트
1959-01-10	The Little Drummer Boy	The Harry Simeone Chorale
1959-02-07	The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
1959-03-28	It Doesn't Matter Anymore	Buddy Holly
1959-05-02	That's Why (I Love You So)	Jackie Wilson
1959-09-19	Morgen	Ivo Robic and The Song-Masters
1959-10-24	Battle Hymn Of The Republic	The Mormon Tabernacle Choir
1959-12-26	Scarlet Ribbons (For Her Hair)	The Browns
1960-02-13	Down By The Station	The Four Preps
1960-02-20	Tracy's Theme	Spencer Ross
1960-11-12	Sleep	Little Willie John
1961-04-29	Tonight My Love, Tonight	Paul Anka
1961-06-10	Barbara-Ann	The Regents
1961-08-05	Never On Sunday	The Chordettes
1961-10-21	The Way You Look Tonight	The Lettermen
1962-01-27	Town Without Pity	Gene Pitney
1962-02-10	Cotton Fields	The Highwaymen
1962-05-26	Uptown	The Crystals
1962-07-07	A Steel Guitar And A Glass Of Wine	Paul Anka
1962-08-25	Bring It On Home To Me	Sam Cooke
1962-09-08	A Swingin' Safari	Billy Vaughn And His Orchestra
1962-10-06	Lie To Me	Brook Benton
1962-12-08	My Own True Love	The Duprees
1962-12-29	Dear Lonely Hearts	Nat King Cole
1963-02-23	Send Me Some Lovin'	Sam Cooke
1963-05-11	Charms	Bobby Vee
1963-08-03	Hopeless	Andy Williams
1963-08-24	Danke Schoen	Wayne Newton And The Newton Brothers
1963-11-23	Hey Little Girl	Major Lance
1964-02-15	A Fool Never Learns	Andy Williams
1964-04-11	Needles And Pins	The Searchers
1964-06-06	Every Little Bit Hurts	Brenda Holloway
1964-06-20	Tell Me Why	Bobby Vinton
1964-10-10	Funny (How Time Slips Away)	Joe Hinton
1964-12-12	I'm Into Something Good	Herman's Hermits
1965-01-16	Thou Shalt Not Steal	Dick and DeeDee
1965-02-20	The "In" Crowd	Dobie Gray
1965-03-27	Little Things	Bobby Goldsboro
1965-05-29	She's About A Mover	Sir Douglas Quintet
1965-06-19	Last Chance To Turn Around	Gene Pitney
1965-07-31	Too Many Rivers	Brenda Lee
1965-08-07	Sunshine, Lollipops And Rainbows	Lesley Gore
1965-09-18	Action	Freddy Cannon
1965-09-25	We Gotta Get Out Of This Place	The Animals
1965-10-09	Some Enchanted Evening	Jay & The Americans
1965-11-27	My Baby	The Temptations
1966-01-01	One Has My Name (The Other Has My Heart)	Barry Young
1966-02-12	A Well Respected Man	The Kinks
1966-03-26	634-5789 (Soulsville, U.S.A.)	Wilson Pickett
1966-05-21	The Sun Ain't Gonna Shine (Anymore)	The Walker Bros.
1966-06-25	Opus 17 (Don't You Worry 'Bout Me)	The 4 Seasons Featuring the "Sound of Frankie Valli"
1966-07-16	Ain't Too Proud To Beg	The Temptations
1966-08-13	Over Under Sideways Down	The Yardbirds
