최초81위 날짜	곡 제목	아티스트
1958-08-09	Young And Warm And Wonderful	Tony Bennett
1958-08-16	Gas Money	Jan & Arnie
1958-08-23	Prisoner's Song	Warren Storm
1958-09-06	Up Until Now	Johnnie Ray
1958-10-04	The Day I Died	The Playmates
1959-01-10	Funny	Jesse Belvin
1959-02-07	My Man	Peggy Lee
1959-02-21	Jupiter-C	Pat and the Satellites
1959-06-27	A Prayer And A Juke Box	Little Anthony And The Imperials
1959-09-05	Sal's Got A Sugar Lip	Johnny Horton
1959-11-21	There, I've Said It Again	Sam Cooke
1960-01-23	In The Still Of The Nite	The Five Satins
1960-02-13	I Know What God Is	Perry Como
1960-08-20	The Brigade Of Broken Hearts	Paul Evans
1960-09-10	Since I Met You Baby	Bobby Vee
1960-09-17	Journey Of Love	The Crests featuring Johnny Mastro
1960-10-01	Is You Is Or Is You Ain't My Baby	Buster Brown
1960-12-03	Gee	Jan & Dean
1961-02-11	Dedicated To The One I Love	The "5" Royales
1961-02-25	You're The Boss	LaVern Baker & Jimmy Ricks
1961-03-11	Top Forty, News, Weather And Sports	Mark Dinning
1961-05-27	Ronnie	Marcy Joe
1961-07-29	La Dolce Vita (The Sweet Life)	Ray Ellis And His Orchestra
1961-10-21	Here Comes The Night	Ben E. King
1962-01-27	I Told The Brook	Marty Robbins
1962-03-17	Mashed Potatoes (Part 1)	Steve Alaimo
1962-03-31	A Girl Has To Know	The G-Clefs
1962-06-09	Scotch And Soda	The Kingston Trio
1962-09-01	Silly Boy (She Doesn't Love You)	The Lettermen
1962-09-22	Broken Heart	The Fiestas
1963-02-23	Ain't Gonna Kiss Ya	The Ribbons
1963-03-30	Insult To Injury	Timi Yuro
1963-04-13	Funny Man	Ray Stevens
1963-06-29	Say Wonderful Things	Patti Page
1963-08-31	Make The Music Play	Dionne Warwick
1963-11-16	Any Other Way	Chuck Jackson
1963-11-30	Hey Lover	Debbie Dovale
1964-02-01	Stay With Me	Frank Sinatra
1964-05-23	From Russia With Love	The Village Stompers
1964-08-15	Sailor Boy	The Chiffons
1964-10-10	L-O-V-E	Nat King Cole
1965-01-02	The Sidewinder, Part 1	Lee Morgan
1965-05-08	Chim, Chim, Cheree	The New Christy Minstrels
1965-05-22	Good Lovin'	The Olympics
1965-11-20	Let The Good Times Roll	Roy Orbison
1966-03-19	What Goes On	The Beatles
1966-05-28	Mame	Louis Armstrong
1966-06-25	Grim Reaper Of Love	The Turtles
1966-07-23	Painter	Lou Christie
1966-08-20	Petticoat White (Summer Sky Blue)	Bobby Vinton
1967-02-25	Ten Commandments	Prince Buster
1967-04-15	There's A Chance We Can Make It	Blues Magoos
1967-05-06	I'm Indestructible	Jack Jones
1967-06-03	Leopard-Skin Pill-Box Hat	Bob Dylan
1967-09-16	Forget It	The Sandpebbles
1967-12-09	Georgia Pines	The Candymen
1968-02-17	Unchain My Heart	Herbie Mann
1968-07-13	Lovin' Season	Gene And Debbe
1968-09-21	For The Love Of Ivy	The Mamas & The Papas
1968-10-19	You Need Me, Baby	Joe Tex
1968-12-07	Born To Be With You	Sonny James
1969-05-17	Someday Man	The Monkees
1969-05-24	I Want To Love You Baby	Peggy Scott & Jo Jo Benson
1969-08-09	First Hymn From Grand Terrace	Mark Lindsay
1969-10-11	The Ways To Love A Man	Tammy Wynette
1969-10-25	Don't Waste My Time	John Mayall
1969-11-01	Sunday Mornin' Comin' Down	Ray Stevens
1970-05-23	If You Do Believe In Love	The Tee Set
1970-07-25	Apartment 21	Bobbie Gentry
1970-09-12	I Wanna Know If It's Good To You?	Funkadelic
1970-10-17	Gas Lamps And Clay	Blues Image
1970-11-14	Fifteen Years Ago	Conway Twitty
1970-11-21	Sunset Strip	Ray Stevens
1971-03-13	Didn't It Look So Easy	The Stairsteps
1971-04-10	Nickel Song	The New Seekers featuring Eve Graham
1971-08-21	It's The Real Thing - Pt. I	The Electric Express
1971-11-06	I Say A Little Prayer/By The Time I Get To Phoenix	Glen Campbell/Anne Murray
1971-12-04	Walk Right Up To The Sun	The Delfonics
1972-01-08	So Many People	Chase
1972-02-26	Step Out	The Mamas & The Papas
1972-03-18	Everyday	John Denver
1972-05-06	Beg, Steal Or Borrow	The New Seekers
1972-05-27	I Can't Turn You Loose	Edgar Winter's White Trash
1972-06-10	Giving Up	Donny Hathaway
1972-07-08	I Don't Need No Doctor	New Riders Of The Purple Sage
1972-08-05	Beat Me Daddy Eight To The Bar	Commander Cody
1972-08-26	Wholy Holy	Aretha Franklin With James Cleveland & The Southern California Community Choir
1973-06-16	I Can Make It Thru The Days (But Oh Those Lonely Nights)	Ray Charles
1973-10-06	Slippin' Away	Jean Shepard
1973-12-29	Big Time Operator	Keith Hampshire
1974-01-05	Somewhere Between Love And Tomorrow	Roy Clark
1974-04-20	It Only Hurts When I Try To Smile	Dawn Featuring Tony Orlando
1974-05-25	Scratch	The Crusaders
1974-07-13	Air Disaster	Albert Hammond
1975-01-18	Gee Baby	Peter Shelley
1975-04-19	A Hurricane Is Coming Tonite	Carol Douglas
1975-09-06	Out Of Time	The Rolling Stones
1975-10-25	The Other Woman	Vicki Lawrence
1975-11-15	The Music Never Stopped	The Grateful Dead
1975-12-06	(I'm Going By) The Stars In Your Eyes	Ron Banks And The Dramatics
1976-05-01	Arms Of Mary	Sutherland Brothers And Quiver
1976-07-03	Open	Smokey Robinson
1976-08-07	I've Been Lovin' You	Easy Street
1976-11-13	(one More Year Of) Daddy's Little Girl	Ray Sawyer
1977-09-17	Sheena Is A Punk Rocker	The Ramones
1978-04-08	I Love You, I Love You, I Love You	Ronnie McDowell
1978-05-13	Where Have You Been All My Life	Fotomaker
1978-10-28	So Young, So Bad	Starz
1978-11-25	(You Got To Walk And) Don't Look Back	Peter Tosh with Mick Jagger
1978-12-16	The Wedding Song (There Is Love)	Mary Macgregor
1979-02-10	Theme From Superman (Main Title)	The London Symphony Orchestra/John Williams
1979-03-03	You Can't Win (Part 1)	Michael Jackson
1979-04-14	I Need You	Euclid Beach Band
1979-05-19	Mirror Star	Fabulous Poodles
1979-07-14	Cuba	The Gibson Brothers
1979-07-21	Keep On Running Away	Lazy Racer
1980-04-05	Bounce, Rock, Skate, Roll Pt. 1	Vaughan Mason And Crew
1980-06-14	The Blue Side	Crystal Gayle
1980-07-26	My Mistake	The Kingbees
1980-08-09	Stranger In My Home Town	Foghat
1980-08-16	Shiver And Shake	The Silencers
1981-07-25	Love Light	Yutaka
1981-08-01	Summer '81 medley	The Cantina Band (featuring Lou Christie)
1981-10-03	Let's Put The Fun Back In Rock N Roll	Freddy Cannon & The Belmonts
1982-07-03	Don't Talk	Larry Lee
1983-01-08	Take The Time	Michael Stanley Band
1983-01-29	What You're Missing	Chicago
1983-03-19	Carrie's Gone	LeRoux
1983-07-30	Legal Tender	The B-52s
1983-09-03	Garden Party	Herb Alpert
1983-10-01	You Put The Beat In My Heart	Eddie Rabbitt
1983-12-10	State Of The Union	Industry
1984-01-28	I Will Follow	U2
1984-02-25	Remember What You Like	Jenny Burton
1984-04-07	No Parking (On The Dance Floor)	Midnight Star
1984-05-19	Darlin'	Frank Stallone
1984-07-07	I Lost On Jeopardy	Weird Al Yankovic
1984-07-14	Simple	Johnny Mathis
1984-08-04	Reach Out	Giorgio Moroder (Featuring Paul Engeman)
1984-08-18	Next Love	Deniece Williams
1984-11-10	Satisfied Man	Molly Hatchet
1984-12-01	Sex Crime (Nineteen Eighty-Four)	Eurythmics
1985-01-05	The Greatest Gift Of All	Kenny Rogers & Dolly Parton
1985-03-16	You Send Me	The Manhattans
1985-05-04	Jammin'	Teena Marie
1985-08-10	Black Kisses Never Make You Blue	Curtie & The Boom Box
