최초72위 날짜	곡 제목	아티스트
1958-08-09	Little Mary	Fats Domino
1958-09-06	Your Cheatin' Heart	George Hamilton IV
1958-10-04	Wendy, Wendy	The Four Coins
1958-12-06	Little Red Riding Hood	Big Bopper
1959-05-09	Kansas City	Hank Ballard And The Midnighters
1959-05-30	Lonely Saturday Night	Don French
1959-11-14	You Went Back On Your Word	Clyde McPhatter
1960-02-13	Up Town	Roy Orbison
1960-02-20	(Baby) Hully Gully	The Olympics
1960-08-06	Far, Far Away	Don Gibson
1960-08-27	Candy Sweet	Pat Boone
1960-12-17	Ramona	The Blue Diamonds
1961-01-21	Chills And Fever	Ronnie Love And His Orchestra
1961-04-08	Seventeen	Frankie Ford
1961-04-15	The Next Kiss (Is The Last Goodbye)	Conway Twitty
1961-07-22	Too Many Rules	Connie Francis
1961-09-16	I Don't Like It Like That	The Bobbettes
1961-10-14	I Apologize	Timi Yuro
1961-12-23	Room Full Of Tears	The Drifters
1962-01-20	But On The Other Hand Baby	Ray Charles and his Orchestra
1962-03-24	La Paloma Twist	Chubby Checker
1962-08-11	Don't Worry 'Bout Me	Vincent Edwards
1962-09-29	Lookin' For A Love	The Valentinos
1963-05-11	Ronnie, Call Me When You Get A Chance	Shelley Fabares
1963-08-03	Will Power	The Cookies
1963-10-05	Cindy's Gonna Cry	Johnny Crawford
1963-11-23	I Could Have Danced All Night	Ben E. King
1964-03-21	(That's) What The Nitty Gritty Is	Shirley Ellis
1964-05-23	Who's Afraid Of Virginia Woolf? (Part I)	Jimmy Smith
1964-06-20	Everybody Knows	Steve Lawrence
1964-07-25	The Ferris Wheel	The Everly Brothers
1964-08-22	Summer Means Fun	Bruce & Terry
1964-10-03	It's All Over	Ben E. King
1964-10-17	Beach Girl	Pat Boone
1964-11-21	California Bound	Ronny And The Daytonas
1965-02-06	The Man	Lorne Greene
1965-03-20	This Is My Prayer	The Ray Charles Singers
1965-03-27	Goldfinger	John Barry and His Orchestra
1965-07-31	Darling Take Me Back	Lenny Welch
1965-08-14	The Loser	The Skyliners
1965-11-20	Child Of Our Times	Barry McGuire
1965-12-11	I Want To Meet Him	The Royalettes
1966-01-29	I Can't Believe You Love Me	Tammi Terrell
1966-05-07	Darling Baby	The Elgins
1966-05-14	Elvira	Dallas Frazier
1966-07-23	I Only Have Eyes For You	The Lettermen
1966-08-20	Lonely Summer	The Shades Of Blue
1966-12-10	Don't Answer The Door - Part 1	B.B. King
1966-12-17	I Don't Need No Doctor	Ray Charles and his Orchestra
1967-02-18	Our Winter Love	The Lettermen
1967-03-04	Peek-A-Boo	The New Vaudeville Band
1967-05-20	I'll Make Him Love Me	Barbara Lewis
1967-05-27	We Had A Good Thing Goin'	The Cyrkle
1967-07-29	A Thousand Shadows	The Seeds
1967-10-21	Stranded In The Middle Of Noplace	The Righteous Brothers
1968-02-17	Funky Way	Calvin Arnold
1968-03-02	I Say Love	The Royal Guardsmen
1968-05-25	Cabaret	Herb Alpert & The Tijuana Brass
1968-07-13	Your Time Hasn't Come Yet, Baby	Elvis Presley With The Jordanaires
1969-03-08	Somebody Loves You	The Delfonics
1969-06-07	Love Man	Otis Redding
1969-07-12	Baby, Don't Be Looking In My Mind	Joe Simon
1970-02-28	She's Ready	Spiral Starecase Featuring: Pat Upton
1970-03-14	Heartbreaker	Grand Funk Railroad
1970-05-23	My Way	Brook Benton
1970-06-13	Red Red Wine	Vic Dana
1970-09-12	I Like Your Lovin' (Do You Like Mine)	The Chi-lites
1970-10-31	Love Uprising	Otis Leaville
1970-11-21	You Better Think Twice	Poco
1971-01-02	Heartbreak Hotel	Frijid Pink
1971-01-23	Are You My Woman? (Tell Me So)	The Chi-lites
