최초43위 날짜	곡 제목	아티스트
1958-11-22	Tunnel Of Love	Doris Day
1959-01-10	The Wedding	June Valli
1959-01-31	Trust In Me	Patti Page
1959-02-21	Who Cares	Don Gibson
1959-05-16	As Time Goes By	Johnny Nash
1959-08-01	Ten Thousand Drums	Carl Smith
1959-09-19	I Got Stripes	Johnny Cash
1959-09-26	Okefenokee	Freddie Cannon
1959-11-14	Wont'cha Come Home	Lloyd Price and His Orchestra
1960-01-30	Baciare Baciare (Kissing Kissing)	Dorothy Collins
1960-05-14	For Love	Lloyd Price and His Orchestra
1960-09-03	Lisa	Jeanne Black
1960-09-24	You're Looking Good	Dee Clark
1960-12-03	Gonzo	James Booker
1961-04-29	Good, Good Lovin'	Chubby Checker
1961-12-09	Up A Lazy River	Si Zentner And His Orchestra
1962-03-24	Walk On The Wild Side	Brook Benton
1962-04-07	Patti Ann	Johnny Crawford
1962-09-15	Mr. Songwriter	Connie Stevens
1962-10-20	No One Will Ever Know	Jimmie Rodgers
1962-10-27	Stormy Monday Blues	Bobby Bland
1963-01-12	Some Kinda Fun	Chris Montez
1963-02-09	Shake Sherry	The Contours
1963-02-16	Puddin N' Tain (Ask Me Again, I'll Tell You The Same)	The Alley Cats
1963-03-30	Love For Sale	Arthur Lyman Group
1963-08-03	Rock Me In The Cradle Of Love	Dee Dee Sharp
1963-09-21	Straighten Up Your Heart	Barbara Lewis
1963-10-05	Treat My Baby Good	Bobby Darin
1964-01-18	The Marvelous Toy	The Chad Mitchell Trio
1964-02-29	Vaya Con Dios	The Drifters
1964-04-25	Make Me Forget	Bobby Rydell
1964-06-13	Good Golly Miss Molly	The Swinging Blue Jeans
1964-06-20	Too Late To Turn Back Now	Brook Benton
1964-07-18	What Have I Got Of My Own	Trini Lopez
1964-08-08	Angelito	Rene & Rene
1964-09-05	I Want You To Meet My Baby	Eydie Gorme
1964-09-26	He's In Town	The Tokens
1964-10-17	Do You Want To Dance	Del Shannon
1964-12-19	Without The One You Love (Life's Not Worth While)	Four Tops
1965-01-02	Roses Are Red My Love	The "You Know Who" Group!
1965-01-09	Boom Boom	The Animals
1965-02-13	At The Club	The Drifters
1965-02-20	Whose Heart Are You Breaking Tonight	Connie Francis
1965-04-24	10 Little Bottles	Johnny Bond
1965-07-17	Who's Cheating Who?	Little Milton
1965-11-20	Cleo's Back	Jr. Walker & The All Stars
1965-12-11	Hole In The Wall	The Packers
1966-08-27	The Tip Of My Fingers	Eddy Arnold
1966-09-24	Sometimes Good Guys Don't Wear White	The Standells
1966-10-29	Come On Up	The Young Rascals
1966-11-12	I Can't Control Myself	The Troggs
1967-04-08	The Loser (With A Broken Heart)	Gary Lewis And The Playboys
1967-05-20	Melancholy Music Man	The Righteous Brothers
1967-09-23	Anything Goes	Harpers Bizarre
1967-11-25	Out Of The Blue	Tommy James And The Shondells
1968-01-20	Everybody Knows	The Dave Clark Five
1968-07-20	With Pen In Hand	Billy Vera
1968-08-31	Give A Damn	Spanky And Our Gang
1968-10-05	Brown Eyed Woman	Bill Medley
1968-10-12	Down On Me	Big Brother And The Holding Company
1968-11-30	Not Enough Indians	Dean Martin
1969-01-25	California Dreamin'	Bobby Womack
1969-09-06	Odds And Ends	Dionne Warwick
1970-02-14	Love Bones	Johnnie Taylor
1970-02-28	Oh What A Day	The Dells
1970-03-14	Take A Look Around	Smith
1970-04-11	Mighty Joe	The Shocking Blue
1970-05-09	The Girls' Song	The 5th Dimension
1970-08-01	My Marie	Engelbert Humperdinck
1970-08-08	Paper Mache	Dionne Warwick
1970-09-19	Soul Shake	Delaney & Bonnie & Friends
1971-01-16	The Green Grass Starts To Grow	Dionne Warwick
1971-01-30	Mother	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
1971-02-27	Hang On To Your Life	The Guess Who
1971-04-17	Do Me Right	Detroit Emeralds
1971-07-10	Ajax Liquor Store	Hudson and Landry
1971-07-24	Change Partners	Stephen Stills
1971-10-02	Another Time, Another Place	Engelbert Humperdinck
1972-01-29	Those Were The Days	Carroll O'Connor And Jean Stapleton (As The Bunkers)
1972-04-29	Chantilly Lace	Jerry Lee Lewis
1972-06-10	There It Is (Part 1)	James Brown
1973-03-10	Rosalie	Sam Neely
1973-06-30	Hey You! Get Off My Mountain	The Dramatics
1973-08-04	There's No Me Without You	The Manhattans
1973-11-17	Never Let You Go	Bloodstone
1974-05-04	Heavenly	The Temptations
1974-09-07	Rings	Lobo
1974-10-12	Blood Is Thicker Than Water	William DeVaughn
1975-07-19	El Bimbo	Bimbo Jet
1975-10-11	Katmandu	Bob Seger
1975-10-25	Dreaming A Dream	Crown Heights Affair
1976-01-03	Down To The Line	Bachman-Turner Overdrive
1976-03-20	I Heard It Through The Grapevine	Creedence Clearwater Revival Featuring John Fogerty
1976-09-18	Popsicle Toes	Michael Franks
1976-10-02	Don't Think....Feel	Neil Diamond
1976-10-23	I Got To Know	Starbuck
1977-02-05	Do It To My Mind	Johnny Bristol
1977-02-12	Baby Don't You Know	Wild Cherry
1977-03-19	Spring Affair/Winter Melody	Donna Summer
1977-04-09	Phantom Writer	Gary Wright
1977-04-16	You're Throwing A Good Love Away	The Spinners
1977-11-12	Fair Game	Crosby, Stills & Nash
1978-01-14	If You're Not Back In Love By Monday	Millie Jackson
1978-03-04	Everybody Loves A Rain Song	B.J. Thomas
1978-04-22	Let Me Party With You (Part 1) (Party, Party, Party)	Bunny Sigler
1978-07-15	I Don't Wanna Go	Joey Travolta
1978-09-02	Ain't Nothing Gonna Keep Me From You	Teri DeSario
1978-11-04	Champagne Jam	Atlanta Rhythm Section
1978-12-02	Fun Time	Joe Cocker
1979-02-10	Dancing In The City	Marshall Hain
1979-03-03	Goodbye, I Love You	Firefall
1979-09-01	Got To Give In To Love	Bonnie Boyer
1979-09-22	Firecracker	Mass Production
1979-10-06	Remember (Walking In The Sand)	Louise Goffin
1979-11-03	My Forbidden Lover	Chic
1979-12-01	Get It Up	Ronnie Milsap
1980-03-15	Rockin' Into The Night	38 Special
1980-04-26	Let Me Be	Korona
1980-05-03	It's Hard To Be Humble	Mac Davis
1980-06-14	Power	The Temptations
