최초89위 날짜	곡 제목	아티스트
1958-08-09	The Purple People Eater Meets The Witch Doctor	Joe South
1958-11-22	It Don't Hurt No More	Nappy Brown
1958-12-27	Philadelphia U.S.A.	Art Lund
1959-03-28	Hawaiian War Chant	Billy Vaughn And His Orchestra
1959-06-27	The Five Pennies	Dodie Stevens
1959-08-29	A Girl's Work Is Never Done	The Chordettes
1960-02-06	I'll Take Care Of You	Bobby Bland
1960-05-14	Beautiful Obsession	Sir Chauncey and his exciting strings
1960-10-01	Over The Mountain; Across The Sea	Johnnie & Joe
1961-01-07	Is There Something On Your Mind	Jack Scott
1961-04-15	California Sun	Joe Jones
1961-04-22	The Mess Around	Bobby Freeman
1961-05-13	A Cross Stands Alone	Jimmy Witter
1961-05-20	Our Love Is Here To Stay	Dinah Washington
1961-07-08	Boogie Woogie	B. Bumble & The Stingers
1961-08-12	Dedicated (To The Songs I Love)	The 3 Friends
1961-09-16	Anniversary Of Love	The Caslons
1961-10-14	Late Date	The Parkays
1961-10-21	Wasn't The Summer Short?	Johnny Mathis
1961-10-28	Backtrack	Faron Young
1961-11-25	Greetings (This is Uncle Sam)	Valadiers
1961-12-09	Losing Your Love	Jim Reeves
1962-03-17	Summertime	Rick Nelson
1962-05-19	Here Comes That Feelin'	Brenda Lee
1962-06-30	You Should'a Treated Me Right	Ike & Tina Turner
1962-07-21	Potato Peeler	Bobby Gregg and His Friends
1962-10-06	What Kind Of Fool Am I?	Robert Goulet
1962-11-03	Mama Sang A Song	Bill Anderson
1962-12-01	I'm So Lonesome I Could Cry	Johnny Tillotson
1962-12-08	Still Waters Run Deep	Brook Benton
1963-03-30	Gone With The Wind	The Duprees featuring Joey Vann
1963-06-29	Scarlett O'Hara	Lawrence Welk And His Orchestra
1963-08-03	Dance, Dance, Dance	Joey Dee
1963-08-24	It Won't Be This Way (Always)	The King Pins
1963-10-12	Better To Give Than Receive	Joe Hinton
1963-12-14	Did You Have A Happy Birthday?	Paul Anka
1963-12-28	Hootenanny Saturday Night	The Brothers Four
1964-01-25	His Kiss	Betty Harris
1964-02-08	Here's A Heart	The Diplomats
1964-02-22	All My Trials	Dick and DeeDee
1964-02-29	Going Back To Louisiana	Bruce Channel
1964-08-29	Squeeze Her-Tease Her (But Love Her)	Jackie Wilson
1964-09-12	Lovers Always Forgive	Gladys Knight And The Pips
1964-10-03	Soon I'll Wed My Love	John Gary
